date,number,latitude,longitude,tp
2017-04-01,4,39.0,126.0,0.0
2017-04-01,4,39.0,127.0,0.0
2017-04-01,4,39.0,128.0,0.0
2017-04-01,4,39.0,129.0,0.11
2017-04-01,4,38.0,126.0,0.0
2017-04-01,4,38.0,127.0,0.0
2017-04-01,4,38.0,128.0,0.0
2017-04-01,4,38.0,129.0,0.05
2017-04-01,4,37.0,126.0,0.0
2017-04-01,4,37.0,127.0,0.0
2017-04-01,4,37.0,128.0,0.0
2017-04-01,4,37.0,129.0,0.05
2017-04-01,4,36.0,126.0,0.0
2017-04-01,4,36.0,127.0,0.0
2017-04-01,4,36.0,128.0,0.0
2017-04-01,4,36.0,129.0,0.0
2017-04-01,4,35.0,126.0,0.0
2017-04-01,4,35.0,127.0,0.0
2017-04-01,4,35.0,128.0,0.0
2017-04-01,4,35.0,129.0,0.0
2017-04-01,4,34.0,126.0,0.0
2017-04-01,4,34.0,127.0,0.0
2017-04-01,4,34.0,128.0,0.0
2017-04-01,4,34.0,129.0,0.0
2017-04-01,4,33.0,126.0,0.05
2017-04-01,4,33.0,127.0,0.05
2017-04-01,4,33.0,128.0,0.0
2017-04-01,4,33.0,129.0,0.0
2017-04-01,5,40.0,126.0,0.0
2017-04-01,5,40.0,127.0,0.0
2017-04-01,5,40.0,128.0,0.0
2017-04-01,5,40.0,129.0,0.0
2017-04-01,5,39.0,126.0,0.0
2017-04-01,5,39.0,127.0,0.0
2017-04-01,5,39.0,128.0,0.0
2017-04-01,5,39.0,129.0,0.0
2017-04-01,5,38.0,126.0,0.0
2017-04-01,5,38.0,127.0,0.0
2017-04-01,5,38.0,128.0,0.0
2017-04-01,5,38.0,129.0,0.16
2017-04-01,5,37.0,126.0,0.0
2017-04-01,5,37.0,127.0,0.0
2017-04-01,5,37.0,128.0,0.19
2017-04-01,5,37.0,129.0,0.35
2017-04-01,5,36.0,126.0,0.0
2017-04-01,5,36.0,127.0,0.0
2017-04-01,5,36.0,128.0,0.19
2017-04-01,5,36.0,129.0,0.81
2017-04-01,5,35.0,126.0,0.0
2017-04-01,5,35.0,127.0,0.0
2017-04-01,5,35.0,128.0,0.0
2017-04-01,5,35.0,129.0,0.62
2017-04-01,5,34.0,126.0,0.0
2017-04-01,5,34.0,127.0,0.0
2017-04-01,5,34.0,128.0,0.0
2017-04-01,5,34.0,129.0,0.13
2017-04-01,5,33.0,126.0,0.0
2017-04-01,5,33.0,127.0,0.0
2017-04-01,5,33.0,128.0,0.0
2017-04-01,5,33.0,129.0,0.13
2017-04-01,6,40.0,126.0,0.0
2017-04-01,6,40.0,127.0,0.0
2017-04-01,6,40.0,128.0,0.0
2017-04-01,6,40.0,129.0,0.0
2017-04-01,6,39.0,126.0,0.0
2017-04-01,6,39.0,127.0,0.0
2017-04-01,6,39.0,128.0,0.0
2017-04-01,6,39.0,129.0,0.0
2017-04-01,6,38.0,126.0,0.0
2017-04-01,6,38.0,127.0,0.0
2017-04-01,6,38.0,128.0,0.0
2017-04-01,6,38.0,129.0,0.03
2017-04-01,6,37.0,126.0,0.0
2017-04-01,6,37.0,127.0,0.0
2017-04-01,6,37.0,128.0,0.0
2017-04-01,6,37.0,129.0,0.03
2017-04-01,6,36.0,126.0,0.0
2017-04-01,6,36.0,127.0,0.0
2017-04-01,6,36.0,128.0,0.0
2017-04-01,6,36.0,129.0,0.48
2017-04-01,6,35.0,126.0,0.0
2017-04-01,6,35.0,127.0,0.0
2017-04-01,6,35.0,128.0,0.0
2017-04-01,6,35.0,129.0,0.48
2017-04-01,6,34.0,126.0,0.0
2017-04-01,6,34.0,127.0,0.0
2017-04-01,6,34.0,128.0,0.0
2017-04-01,6,34.0,129.0,0.16
2017-04-01,6,33.0,126.0,0.0
2017-04-01,6,33.0,127.0,0.0
2017-04-01,6,33.0,128.0,0.0
2017-04-01,6,33.0,129.0,0.16
2017-04-01,7,40.0,126.0,0.0
2017-04-01,7,40.0,127.0,0.0
2017-04-01,7,40.0,128.0,0.0
2017-04-01,7,40.0,129.0,0.0
2017-04-01,7,39.0,126.0,0.0
2017-04-01,7,39.0,127.0,0.0
2017-04-01,7,39.0,128.0,0.0
2017-04-01,7,39.0,129.0,0.0
2017-04-01,7,38.0,126.0,0.0
2017-04-01,7,38.0,127.0,0.0
2017-04-01,7,38.0,128.0,0.0
2017-04-01,7,38.0,129.0,0.0
2017-04-01,7,37.0,126.0,0.0
2017-04-01,7,37.0,127.0,0.0
2017-04-01,7,37.0,128.0,0.0
2017-04-01,7,37.0,129.0,0.0
2017-04-01,7,36.0,126.0,0.0
2017-04-01,7,36.0,127.0,0.0
2017-04-01,7,36.0,128.0,0.0
2017-04-01,7,36.0,129.0,0.24
2017-04-01,7,35.0,126.0,0.0
2017-04-01,7,35.0,127.0,0.0
2017-04-01,7,35.0,128.0,0.0
2017-04-01,7,35.0,129.0,0.24
2017-04-01,7,34.0,126.0,0.0
