date,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,mean,obs
2013-08-01,1,0.14,0.99,0.17,0.16,0.36,0.79,0.56,2.1,0.41,0.45,0.63,0.61,1.23,1.12,2.41,0.6,0.22,0.42,0.36,0.34,0.61,0.59,0.49,0.34,0.34,0.66,0.03
2013-08-02,1,9.19,2.4800000000000004,10.15,19.87,3.35,14.600000000000001,1.8900000000000001,8.620000000000001,3.8599999999999994,14.110000000000001,12.399999999999999,5.77,8.549999999999999,9.079999999999998,10.09,6.0200000000000005,5.220000000000001,3.56,5.64,14.03,5.449999999999999,14.040000000000001,5.52,13.84,2.69,8.4,10.23
2013-08-03,1,7.590000000000002,8.79,6.640000000000001,1.6400000000000006,10.71,4.849999999999998,2.41,6.3100000000000005,8.040000000000001,4.499999999999998,4.369999999999999,2.1900000000000004,3.790000000000001,2.5200000000000014,9.670000000000002,2.7299999999999995,7.829999999999999,6.6,5.949999999999999,14.250000000000002,3.95,5.5699999999999985,11.01,6.48,7.020000000000001,6.22,3.03
2013-08-04,1,12.389999999999997,21.130000000000003,12.7,1.6899999999999977,10.750000000000002,26.88,0.9199999999999999,17.519999999999996,6.360000000000001,3.2200000000000024,10.530000000000001,3.8499999999999996,16.7,11.01,9.389999999999997,10.340000000000002,3.25,6.42,11.530000000000001,2.1099999999999994,11.389999999999999,5.73,31.400000000000002,15.3,11.529999999999998,10.96,3.2
2013-08-05,1,2.3200000000000003,0.7899999999999991,11.360000000000003,8.620000000000001,4.389999999999997,13.36,3.45,1.75,3.8099999999999987,10.269999999999996,3.080000000000002,4.119999999999999,7.790000000000003,2.4899999999999984,12.239999999999998,6.529999999999998,0.6999999999999993,5.399999999999999,2.6400000000000006,8.870000000000001,2.3200000000000003,4.760000000000002,3.8900000000000006,2.710000000000001,1.8300000000000018,5.18,10.54
2013-08-06,1,3.4499999999999993,2.3200000000000003,3.719999999999999,2.330000000000002,4.550000000000001,2.470000000000006,0.5899999999999999,0.9200000000000017,1.0,13.530000000000001,2.5399999999999956,1.0500000000000007,2.4499999999999957,2.330000000000002,2.470000000000006,1.3000000000000007,0.17999999999999972,1.25,2.919999999999998,3.469999999999999,20.310000000000002,2.7099999999999973,13.399999999999991,1.0399999999999991,2.370000000000001,3.79,1.26
2013-08-07,1,0.10000000000000142,0.9799999999999969,1.8900000000000006,1.509999999999998,0.480000000000004,1.029999999999994,0.08000000000000007,0.37000000000000455,0.5300000000000011,0.6900000000000048,0.3200000000000003,1.0199999999999996,0.30000000000000426,0.46999999999999886,1.1499999999999986,0.8099999999999987,0.17999999999999972,1.7900000000000027,0.26000000000000156,0.9299999999999997,1.25,0.509999999999998,1.220000000000013,0.36999999999999744,1.0499999999999972,0.77,0.03
2013-08-08,1,0.13000000000000256,0.5200000000000031,0.27999999999999403,0.14000000000000057,0.0899999999999963,0.4299999999999997,0.129999999999999,0.3399999999999963,0.10999999999999943,1.1299999999999955,0.09000000000000341,0.030000000000001137,0.11999999999999744,0.1999999999999993,0.4200000000000017,0.8000000000000007,0.0400000000000027,0.16000000000000014,0.10999999999999943,1.1199999999999974,0.03999999999999915,0.10000000000000142,0.0899999999999892,0.0799999999999983,1.0,0.31,0.03
2013-08-09,1,0.09999999999999432,0.03999999999999915,0.04000000000000625,0.3100000000000023,0.03999999999999915,0.4099999999999966,0.05000000000000071,0.10000000000000142,0.00999999999999801,2.0900000000000034,0.03999999999999915,0.019999999999999574,0.07000000000000028,0.0400000000000027,0.09999999999999432,0.7100000000000009,0.00999999999999801,0.2099999999999973,0.030000000000001137,0.03999999999999915,0.030000000000001137,0.23000000000000398,0.04999999999999716,0.060000000000002274,1.5900000000000034,0.26,2.76
2013-08-10,1,0.4000000000000057,0.3200000000000003,0.3299999999999983,1.1999999999999957,0.12000000000000455,0.2600000000000051,0.3800000000000008,0.1700000000000017,0.060000000000002274,0.03999999999999915,1.2199999999999989,0.3000000000000007,0.11999999999999744,0.0,0.060000000000002274,0.1999999999999993,0.22000000000000242,0.120000000000001,0.019999999999999574,0.07000000000000028,1.1199999999999974,1.5700000000000003,0.21000000000000796,0.509999999999998,0.00999999999999801,0.36,9.48
2013-08-11,1,0.8200000000000003,0.0,0.240000000000002,0.6899999999999977,0.13999999999999346,0.09000000000000341,11.36,0.28999999999999915,0.25,0.060000000000002274,0.6600000000000037,4.68,2.8200000000000003,7.23,0.14000000000000057,0.10000000000000142,0.21999999999999886,0.10999999999999943,0.05000000000000071,0.030000000000001137,4.460000000000001,0.44999999999999574,0.4099999999999966,0.8800000000000026,0.05000000000000071,1.45,0.04
2013-08-12,1,0.269999999999996,0.020000000000003126,0.25,0.47000000000000597,0.490000000000002,0.04999999999999716,2.8200000000000003,0.29999999999999716,9.279999999999998,0.02999999999999403,0.39000000000000057,2.009999999999998,1.3500000000000014,0.44999999999999574,0.01999999999999602,0.370000000000001,0.08999999999999986,0.08000000000000185,0.0799999999999983,0.030000000000001137,3.799999999999997,0.13000000000000256,0.18999999999999773,0.14000000000000057,0.05999999999999872,0.93,0.01
2013-08-13,1,0.259999999999998,0.09999999999999432,0.03999999999999915,0.519999999999996,1.1600000000000037,0.23000000000000398,0.019999999999999574,0.030000000000001137,6.420000000000002,1.4600000000000009,3.8899999999999935,0.9600000000000009,0.0,0.4000000000000057,0.010000000000005116,0.28999999999999915,2.0700000000000003,0.4399999999999977,0.05999999999999872,0.07000000000000028,1.1900000000000048,1.3399999999999963,0.18000000000000682,0.020000000000003126,0.26000000000000156,0.86,0.0
