date,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,mean,obs
2020-12-01,1,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.07,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.01,0.0
2020-12-02,1,0.01,0.0,0.02,0.01,0.0,0.0,0.019999999999999997,0.04,0.0,0.009999999999999995,0.03,0.0,0.04,0.0,0.019999999999999997,0.02,0.05,0.0,0.01,0.03,0.0,0.0,0.02,0.0,0.02,0.0,0.01,0.0,0.04,0.0,0.04,0.0,0.02,0.04,0.01,0.05,0.04,0.0,0.039999999999999994,0.0,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.009999999999999995,0.01,0.0,0.03,0.01,0.07
2020-12-03,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030000000000000002,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-05,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-06,1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.12000000000000001,0.0,0.67,0.36,0.0,0.0,0.060000000000000005,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.0,0.0,0.049999999999999996,0.68,0.0,0.0,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.04,0.0,0.0,0.27,0.0,0.06,0.0
2020-12-07,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.019999999999999907,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04000000000000001,0.009999999999999898,0.010000000000000009,0.0,0.0,0.0,0.009999999999999995,0.0,0.0,0.0,0.009999999999999995,0.0,0.0,0.010000000000000009,0.0,0.01,0.02
2020-12-08,1,0.0,0.0,0.009999999999999998,0.43,0.0,0.0,0.0,0.060000000000000005,5.33,0.06000000000000005,0.08,3.6,0.0,6.43,0.0,0.039999999999999994,0.5399999999999999,0.13,0.0,23.65,0.0,6.06,2.08,0.28,0.009999999999999998,0.0,0.0,0.03,0.0,0.01,0.47000000000000003,0.01,0.0,0.23,1.52,2.71,0.43999999999999995,0.0,5.489999999999999,2.9,0.0,0.0,9.06,0.0,0.26,0.0,0.0,8.219999999999999,0.03,0.0,2.33,1.62,0.0
2020-12-09,1,0.0,0.009999999999999995,0.0,0.25999999999999995,0.0,0.0,1.74,0.01999999999999999,0.47999999999999954,0.0,9.73,0.4099999999999997,0.0,3.2200000000000006,0.0,0.0,0.06000000000000005,0.0,0.47,0.4299999999999997,0.22,0.7000000000000002,0.0,0.0,0.0,4.17,0.0,7.7299999999999995,0.0,0.03,0.0,2.2,0.04000000000000001,0.44999999999999996,0.33999999999999986,0.0,0.0,0.010000000000000009,2.2800000000000002,0.6600000000000001,0.02,0.34,0.41999999999999993,0.0,0.45999999999999996,0.01,0.0,0.0,2.46,0.019999999999999962,1.21,0.8,0.0
2020-12-10,1,0.0,0.9500000000000001,0.07,0.010000000000000009,0.0,0.74,2.4600000000000004,0.18,0.020000000000000462,0.0,0.019999999999999574,0.03000000000000025,0.0,0.02999999999999936,0.04000000000000001,0.21000000000000002,0.040000000000000036,0.06,0.8,0.0,0.03,2.2300000000000004,0.18000000000000016,0.019999999999999962,3.1100000000000003,0.020000000000000462,0.06,0.8100000000000005,0.0,0.0,0.09999999999999998,0.020000000000000018,0.37,0.0,0.30000000000000027,0.050000000000000266,3.77,0.5700000000000001,6.52,0.3999999999999999,0.1,2.8600000000000003,0.2599999999999998,0.0,0.43999999999999995,0.19999999999999998,0.99,0.08000000000000007,0.040000000000000036,0.04999999999999999,0.0,0.57,0.02
