date,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,obs,mean
2012-12-01,1,0.39,0.14,0.36,0.52,0.29,0.28,0.28,0.39,0.25,0.31,0.23,0.31,0.44,0.2,0.16,0.38,0.56,0.27,0.42,0.58,0.1,0.42,0.2,0.4,0.35,0.01,0.33
2012-12-02,1,0.02,0.02,0.02,0.03,0.19,0.01,0.01,0.08,0.05,0.05,0.11,0.09,0.03,0.01,0.05,0.32,0.03,0.09,0.11,0.08,0.05,0.05,0.02,0.09,0.07,0.01,0.07
2012-12-03,1,2.8,2.41,2.22,2.02,2.01,2.13,2.62,1.75,1.44,4.11,2.79,1.71,1.5,1.81,2.71,1.64,1.8,2.31,1.67,2.38,2.21,2.3,2.03,2.87,2.39,3.49,2.23
2012-12-04,1,0.02,0.0,0.01,0.01,0.0,0.01,0.01,0.03,0.0,0.0,0.01,0.02,0.02,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.28,0.01
2012-12-05,1,3.23,4.04,1.99,3.71,2.63,5.46,2.93,4.21,2.44,6.45,1.96,4.99,7.08,2.7,5.51,3.24,3.18,3.38,3.49,3.32,3.22,4.44,2.88,2.91,3.28,3.6,3.71
2012-12-06,1,0.01,0.06,0.14,0.05,0.03,0.07,0.01,0.03,0.13,0.55,0.04,0.03,0.38,0.16,0.05,0.01,0.02,0.07,0.28,0.02,0.07,0.27,0.12,0.03,0.01,0.46,0.11
2012-12-07,1,0.13,0.25,0.19,0.2,0.08,0.22,0.02,0.03,0.02,0.11,0.71,0.07,0.03,0.62,0.42,0.01,0.18,0.07,0.09,1.45,0.14,0.02,0.63,0.16,0.46,4.02,0.25
2012-12-08,1,0.09,0.2,0.07,0.02,0.06,0.25,0.04,0.37,0.09,0.08,0.26,0.02,0.16,0.2,0.5,0.03,0.23,0.07,0.13,0.07,0.2,0.06,0.02,0.07,0.26,0.22,0.14
2012-12-09,1,0.01,0.01,0.03,0.01,0.05,0.04,0.37,0.24,0.04,0.05,0.04,0.07,0.03,0.05,0.24,0.02,0.12,0.05,0.13,0.08,0.05,0.08,0.0,0.16,0.18,0.0,0.09
2012-12-10,1,0.04,0.24,0.16,0.0,0.02,0.0,0.39,0.0,0.0,0.01,0.06,0.01,0.68,0.02,1.66,0.05,0.02,0.03,0.16,0.16,0.02,0.01,0.0,0.62,0.13,0.15,0.18
2012-12-11,1,0.01,0.08,1.15,0.26,0.0,0.3,0.01,0.01,0.0,0.01,0.0,0.0,0.15,0.02,0.06,0.01,0.06,0.0,0.04,2.15,0.01,0.01,7.69,0.09,0.02,0.02,0.49
2012-12-12,1,0.0,0.0,0.2,0.72,0.09,0.23,0.0,0.03,0.0,0.08,0.03,0.04,0.05,0.01,0.08,0.02,0.01,1.37,0.12,1.35,0.33,0.21,0.52,0.0,0.02,0.1,0.22
2012-12-13,1,5.22,0.02,0.14,0.01,0.01,2.12,0.0,1.58,0.02,0.01,10.32,2.63,0.0,0.03,0.0,0.12,2.03,8.3,0.01,0.06,0.54,0.07,1.53,0.01,0.11,0.06,1.4
