date,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,obs,mean
2020-09-01,1,3.48,2.61,4.91,2.22,7.32,3.0,4.15,11.68,1.64,3.49,15.72,4.79,5.55,13.95,2.96,1.74,12.78,1.71,10.36,3.46,4.78,10.95,1.26,5.73,2.8,1.38,9.46,0.93,8.6,1.88,3.64,2.61,20.47,13.95,1.33,1.43,7.16,7.52,4.22,5.73,10.28,8.95,3.53,7.79,9.54,11.22,6.13,8.93,3.85,6.7,2.72,0.37,6.14
2020-09-02,1,53.7,66.95,48.94,72.99,54.67,42.58,53.57,30.78,96.7,68.47,60.62,64.7,51.67,70.71,56.49,47.16,103.74,47.83,57.84,63.35,34.77,50.61,61.2,69.88,44.24,60.24,70.78,51.78,68.01,78.66,51.53,63.75,67.76,61.76,58.89,59.18,68.97,67.51,56.34,64.17,57.24,82.38,62.05,44.82,85.16,63.89,64.75,65.34,47.99,56.88,71.78,33.94,61.29
2020-09-03,1,1.19,4.93,2.7,1.21,2.46,2.85,1.09,1.5,3.79,3.6,1.14,0.4,3.42,2.56,0.53,1.96,2.53,2.56,0.71,2.6,3.88,4.22,1.68,2.93,1.25,1.17,2.78,1.07,2.52,2.4,0.82,3.53,1.79,1.86,2.27,1.52,2.26,2.99,3.58,2.42,0.63,17.69,2.64,2.72,4.79,0.82,1.5,4.11,1.15,2.08,1.44,61.98,2.55
2020-09-04,1,0.08,0.23,0.06,0.04,0.33,0.47,1.0,0.08,0.17,0.03,0.02,0.0,0.01,0.17,0.03,0.0,0.06,0.23,0.0,0.84,0.06,0.06,0.04,1.29,0.2,0.43,0.6,0.05,0.1,0.17,0.0,0.02,0.77,0.04,0.01,0.34,0.0,0.08,0.04,0.07,0.02,0.02,0.0,0.01,0.23,0.04,0.03,0.37,0.13,0.03,0.12,0.04,0.18
2020-09-05,1,0.72,11.49,12.89,3.11,3.25,16.3,7.35,10.36,17.5,24.7,9.58,5.86,17.3,13.28,12.02,10.79,1.97,30.61,12.11,9.37,2.67,0.25,0.01,6.51,9.68,0.02,4.36,7.0,3.18,31.18,3.5,8.51,13.08,0.09,11.54,3.24,0.1,15.43,2.76,27.68,0.67,17.19,16.66,1.51,37.54,5.43,17.56,16.2,0.29,27.14,39.15,0.09,10.99
2020-09-06,1,24.6,96.34,23.33,68.1,42.07,87.55,77.69,23.83,40.85,48.92,23.18,76.25,34.36,27.63,48.14,57.21,30.76,44.48,35.63,25.09,39.6,1.9,9.52,20.9,30.87,9.15,102.49,73.47,38.15,84.64,33.53,41.73,75.3,70.08,41.6,77.63,22.4,23.35,24.7,52.87,8.76,96.0,61.39,10.95,99.04,51.28,53.86,53.04,10.47,51.21,68.3,14.99,46.55
2020-09-07,1,44.85,14.57,20.52,9.8,4.06,11.15,40.18,17.94,36.93,33.96,48.52,0.75,27.09,43.77,3.37,19.27,1.49,44.34,23.19,14.99,33.7,32.33,1.17,49.48,17.56,14.5,12.13,5.21,5.99,27.84,14.87,37.09,20.73,2.41,4.27,1.84,55.7,42.87,55.78,13.25,41.81,1.9,1.34,79.66,4.64,8.84,61.65,4.51,60.63,41.76,3.19,60.25,23.91
2020-09-08,1,0.67,0.97,0.69,4.54,0.94,4.4,0.03,0.41,0.66,1.76,0.64,0.0,0.09,1.2,0.14,0.11,0.03,2.94,0.02,0.49,1.68,52.8,0.08,1.18,0.34,4.14,1.79,0.52,0.3,7.05,0.05,4.22,1.68,0.37,0.41,1.56,0.69,0.17,0.47,0.29,1.19,0.96,0.14,2.51,0.17,1.21,0.16,1.88,0.88,1.14,0.29,0.87,2.18
2020-09-09,1,2.49,0.98,0.0,0.86,0.34,0.26,0.05,0.37,2.27,5.77,3.82,1.35,0.01,0.01,0.02,0.02,0.87,8.39,0.48,0.92,1.2,1.79,1.01,1.33,4.87,2.22,0.7,5.45,0.7,1.55,0.01,0.59,1.25,0.01,0.11,0.01,0.0,0.29,0.68,1.45,0.95,1.23,0.16,0.06,0.38,0.0,0.04,0.18,0.04,0.28,0.06,7.47,1.13
2020-09-10,1,0.29,1.55,0.04,1.4,0.55,0.19,0.06,0.36,3.71,0.0,4.68,0.0,0.03,0.0,0.01,0.0,0.05,0.81,0.02,0.12,1.87,0.04,1.35,0.48,1.89,0.01,0.05,3.5,1.74,0.48,0.02,0.22,0.64,0.0,6.92,0.54,0.0,0.09,0.71,0.84,6.65,6.08,0.02,6.56,0.91,0.0,11.08,0.28,0.06,0.02,0.01,1.11,1.31
