date,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,obs,mean
2017-09-01,1,0.0,0.06,0.0,0.01,0.0,0.07,0.0,0.0,0.03,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.09,0.03,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.05,0.0,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.01
2017-09-02,1,0.0,0.05,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,-0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01
2017-09-03,1,0.07,0.24,0.0,0.04,0.07,0.01,0.0,0.08,0.04,0.15,0.02,0.02,0.03,0.0,0.06,0.0,0.01,0.08,0.02,0.11,0.0,0.04,0.01,0.19,0.0,0.0,0.0,0.09,0.01,0.04,0.02,0.01,0.38,0.19,0.04,0.04,0.01,0.08,0.02,0.06,0.04,0.24,0.07,0.0,0.07,0.06,0.0,0.01,0.0,0.05,0.03,0.0,0.06
2017-09-04,1,0.0,0.07,0.01,0.1,5.33,0.02,0.0,0.0,0.02,0.01,0.01,0.12,0.0,0.01,0.21,0.26,2.67,0.41,0.0,0.0,0.0,0.32,0.0,1.2,0.07,0.03,0.0,18.4,0.01,2.33,0.72,0.06,0.01,0.03,0.0,5.1,0.0,0.02,0.0,0.01,0.0,0.03,0.54,0.01,0.08,2.14,0.0,0.02,0.32,0.03,0.33,0.0,0.81
2017-09-05,1,0.21,0.36,0.1,0.56,26.17,7.52,0.25,0.1,34.18,0.1,0.0,12.26,1.42,0.96,0.43,0.04,13.75,37.35,0.99,5.62,3.11,0.29,24.95,4.78,0.0,31.94,9.51,4.63,0.0,3.89,15.27,5.32,0.01,3.25,50.74,10.23,0.03,1.01,0.61,5.34,0.0,0.0,0.74,0.0,0.52,15.19,0.04,0.0,1.12,0.43,26.18,0.02,7.09
2017-09-06,1,0.75,0.0,1.46,0.01,0.09,0.13,1.64,0.76,2.14,0.2,0.01,0.17,0.82,0.05,12.09,0.06,0.2,0.02,0.0,0.26,5.63,0.12,4.5,0.07,2.29,0.37,1.54,0.02,0.0,0.0,8.76,0.02,0.09,0.02,0.12,0.01,0.07,0.02,0.45,0.09,8.24,0.06,0.06,0.0,0.17,0.06,0.04,0.19,2.43,0.05,0.02,1.26,1.11
2017-09-07,1,0.02,0.11,0.19,0.01,0.02,0.01,2.74,28.8,0.29,0.39,0.06,0.6,0.06,0.04,0.34,0.03,0.0,37.53,0.07,0.19,0.08,0.01,0.74,0.05,16.15,0.01,0.02,0.01,0.06,0.0,0.02,0.31,0.06,0.16,0.37,0.12,0.64,0.03,1.08,0.5,0.67,0.0,1.44,0.1,0.0,0.43,0.06,0.01,0.14,2.64,0.0,0.08,1.91
2017-09-08,1,0.29,0.03,0.0,0.0,0.11,0.07,0.26,0.58,0.03,1.12,0.11,0.0,0.04,0.0,1.36,0.52,0.05,3.53,0.84,0.26,0.07,0.14,2.9,0.45,0.61,0.11,1.35,0.04,1.15,0.01,0.07,0.1,0.0,0.13,0.07,0.2,0.14,0.01,0.22,0.49,0.14,0.02,0.08,0.19,0.02,0.87,0.33,0.06,0.15,0.03,0.0,0.01,0.38
2017-09-09,1,0.31,0.02,0.16,0.44,0.48,0.52,1.59,0.75,0.01,0.0,0.0,0.01,0.08,0.0,0.02,0.17,0.05,0.0,0.11,0.06,0.64,0.24,0.62,3.05,5.9,0.09,0.16,24.21,0.64,0.24,0.02,0.12,0.01,0.26,0.0,0.46,1.48,0.01,2.37,0.03,0.42,0.0,3.76,1.71,0.09,0.91,1.79,0.86,0.24,1.9,0.0,0.0,1.12
2017-09-10,1,0.29,0.0,0.03,2.63,0.57,0.06,1.8,51.03,0.06,42.19,0.0,0.0,1.11,7.24,0.01,0.01,0.02,0.0,0.0,0.98,0.01,0.0,0.03,0.22,0.0,0.31,1.01,1.8,0.12,5.05,0.18,1.16,0.01,0.36,5.16,1.05,0.0,1.98,0.27,0.87,0.06,0.0,22.76,0.27,0.58,0.7,0.78,0.97,0.77,0.08,0.0,0.0,3.03
2017-09-11,1,0.05,33.54,0.03,3.3,3.28,0.01,0.8,39.3,23.38,4.19,0.0,35.45,0.0,17.63,0.02,2.26,0.01,1.71,0.28,0.75,0.0,0.02,0.0,5.59,0.0,0.01,27.92,0.5,0.0,0.01,0.15,43.97,0.22,0.04,48.0,3.45,0.03,0.29,0.0,16.84,0.48,0.01,0.06,0.28,21.37,9.45,0.0,0.05,0.47,0.05,0.01,15.42,6.77
2017-09-12,1,1.65,2.87,22.47,5.0,0.06,0.34,0.0,0.63,3.21,0.23,9.44,0.37,0.0,3.45,1.02,27.64,0.02,0.23,26.1,0.21,0.05,0.47,2.48,24.79,0.13,0.09,1.94,0.03,0.06,0.0,0.04,3.07,0.01,1.53,0.88,15.95,0.17,0.0,5.66,3.5,4.5,0.04,0.41,4.93,8.47,1.48,0.64,15.97,75.11,3.88,0.0,0.07,5.51
2017-09-13,1,0.38,0.0,86.73,5.7,0.51,1.82,0.03,0.51,7.96,1.28,2.11,0.05,0.08,1.9,0.01,0.36,0.06,0.72,0.4,0.11,0.02,0.0,1.7,1.3,0.72,1.35,0.01,0.0,0.01,0.0,0.12,1.34,13.24,2.71,0.04,0.75,0.03,0.04,36.4,0.01,5.02,0.0,0.36,6.76,3.82,0.51,2.17,0.2,8.47,0.02,2.78,0.3,3.93
2017-09-14,1,0.05,0.14,1.34,0.57,0.04,0.16,0.0,0.01,0.45,0.03,8.64,0.0,0.06,0.59,0.03,2.71,0.02,0.74,0.0,0.01,0.03,0.0,0.03,1.03,3.95,0.15,0.0,0.0,0.02,0.0,0.0,0.0,2.14,0.99,0.14,0.09,0.14,0.05,0.84,1.08,5.34,0.0,0.01,2.62,0.35,0.0,5.03,0.06,0.23,0.0,23.09,0.0,1.24
2017-09-15,1,0.55,0.26,1.46,0.59,0.03,0.01,0.0,0.11,0.41,0.0,8.28,6.62,0.0,0.6,1.95,0.23,0.29,0.0,0.0,0.01,0.01,0.0,0.27,0.72,1.6,0.05,0.0,0.4,0.62,0.0,0.0,0.36,0.07,0.82,3.33,0.02,19.29,0.0,0.01,0.23,9.55,7.4,0.0,8.89,8.28,2.5,1.78,17.19,0.0,0.0,0.61,0.0,2.07
2017-09-16,1,0.06,2.52,1.73,0.47,0.03,0.0,0.06,1.91,0.0,0.08,0.02,0.66,0.0,0.02,0.47,0.0,0.02,0.08,0.0,0.0,1.2,0.02,1.23,0.04,0.06,0.12,0.01,0.17,18.53,0.49,0.0,0.08,0.73,3.18,2.85,0.03,13.92,0.11,0.0,0.0,0.43,0.3,0.06,0.58,0.29,0.07,0.07,14.31,0.0,0.0,0.01,0.08,1.31
2017-09-17,1,0.0,4.28,0.35,1.01,0.01,0.01,0.64,12.35,0.07,0.36,0.04,0.0,0.62,3.83,0.62,0.01,0.29,0.41,1.51,0.01,1.05,0.0,0.66,0.0,0.85,0.0,0.04,0.04,4.59,4.72,0.01,0.13,0.05,1.25,0.29,0.45,0.0,33.16,0.0,0.0,3.29,0.0,11.46,0.12,0.76,0.0,0.0,2.27,0.03,0.29,0.02,0.96,1.8
2017-09-18,1,0.0,0.03,0.2,0.84,0.03,5.57,0.7,1.41,0.43,0.38,41.2,0.0,13.88,0.05,0.07,11.13,0.67,0.45,1.8,0.01,0.01,0.52,33.62,0.04,5.56,0.0,0.0,0.01,0.02,4.14,2.65,11.32,0.01,2.87,0.02,0.64,0.03,5.22,0.02,10.76,0.07,0.23,2.47,0.13,0.0,0.0,0.01,1.96,1.91,0.15,0.06,0.03,3.2
2017-09-19,1,7.71,0.0,0.44,0.3,4.62,0.63,0.25,0.21,11.37,0.35,14.39,0.54,2.88,0.02,1.34,10.47,2.29,6.22,0.0,11.13,2.19,1.13,70.67,0.08,0.6,0.17,0.65,0.01,0.02,4.02,2.22,2.31,0.52,12.64,0.02,0.01,0.18,5.86,0.47,12.69,0.52,0.0,0.01,8.9,0.0,27.63,0.58,8.65,0.03,0.02,0.27,11.88,4.67
