date,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,obs,mean
2013-10-01,1,0.49,0.34,0.31,0.83,0.57,0.07,0.99,0.59,0.06,0.33,0.5,0.59,0.34,0.09,0.09,0.86,0.0,0.17,0.36,0.14,0.26,0.44,0.25,0.65,0.31,0.03,0.39
2013-10-02,1,0.85,1.27,0.2,1.0,0.59,0.57,0.3,0.39,0.6,1.1,0.68,1.17,0.44,0.72,0.81,0.76,0.54,0.46,1.58,0.86,1.02,0.51,0.5,1.15,0.46,0.05,0.74
2013-10-03,1,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.05,0.0
2013-10-04,1,0.0,0.31,0.0,0.0,0.0,0.01,0.0,0.0,0.09,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.01,0.0,0.03
2013-10-05,1,0.02,0.15,0.02,32.46,0.0,0.02,10.56,0.03,0.75,0.02,0.06,0.03,0.01,0.0,0.95,0.06,5.14,0.02,0.01,0.0,25.02,0.28,21.85,0.03,0.22,0.0,3.91
2013-10-06,1,0.66,10.32,1.14,10.35,1.92,8.89,70.26,0.27,17.53,10.68,1.69,0.02,1.66,0.03,8.62,6.44,16.23,2.18,0.14,0.08,7.69,19.35,8.89,3.74,22.45,0.49,9.25
2013-10-07,1,2.18,53.85,0.25,0.69,13.94,30.27,0.25,0.07,6.56,11.11,3.05,5.78,1.33,0.06,8.2,3.61,24.35,5.69,1.02,0.0,0.02,12.27,0.02,46.8,11.27,0.24,9.71
2013-10-08,1,12.3,5.62,2.7,3.68,2.87,17.96,0.01,0.0,9.85,1.81,2.78,0.2,0.56,0.8,2.07,0.33,4.11,0.81,1.5,0.1,0.04,0.0,0.0,1.95,0.24,20.07,2.89
2013-10-09,1,11.69,1.21,0.06,0.04,40.96,0.11,0.02,0.11,0.07,0.2,2.37,0.01,18.83,7.69,0.05,0.02,3.01,0.0,0.09,0.06,0.0,0.04,0.0,0.02,0.01,0.31,3.47
2013-10-10,1,2.78,0.05,0.24,0.26,15.19,0.08,0.29,1.13,0.01,0.07,0.39,0.02,6.67,2.59,0.15,0.32,77.39,0.26,0.29,0.13,1.1,0.01,0.26,0.19,0.05,0.04,4.4
2013-10-11,1,0.8,2.72,0.0,6.15,0.0,0.13,0.14,25.24,0.0,2.48,0.0,0.06,0.02,0.02,0.06,0.01,0.76,0.04,0.4,0.01,0.0,0.06,0.2,0.48,0.02,2.46,1.59
2013-10-12,1,-0.01,1.34,0.8,0.8,0.05,0.0,4.08,31.76,0.34,0.04,0.09,0.37,0.0,0.45,13.34,0.09,0.2,0.04,0.05,0.47,0.0,0.44,1.48,17.3,0.29,0.0,2.95
2013-10-13,1,0.01,0.0,0.73,0.09,0.05,0.05,0.0,0.65,0.04,0.16,0.09,0.3,0.01,1.68,9.53,5.0,0.09,0.02,56.84,0.02,0.01,0.2,0.77,2.38,0.06,0.0,3.15
2013-10-14,1,0.11,0.69,0.05,0.24,0.0,1.46,0.0,6.38,0.01,0.08,2.0,0.0,0.0,8.62,1.9,0.07,0.01,0.97,2.3,1.22,0.0,2.08,0.03,0.95,0.0,0.02,1.17
2013-10-15,1,0.13,0.73,0.01,0.0,0.0,0.21,0.19,0.11,0.99,0.02,1.41,0.0,0.02,0.95,0.02,0.0,0.02,0.03,0.02,0.03,0.07,0.11,0.01,1.09,0.02,2.39,0.25
2013-10-16,1,7.91,0.43,0.13,0.26,0.01,0.12,0.11,0.04,0.67,0.01,0.5,0.01,0.13,0.04,0.02,0.0,0.02,0.24,0.01,0.0,3.31,0.02,1.06,5.37,0.29,0.0,0.83
2013-10-17,1,0.06,0.85,5.33,0.0,0.0,0.44,0.01,21.37,8.78,1.17,0.06,0.0,0.24,0.34,0.01,2.57,0.47,0.61,4.19,0.01,6.65,0.67,0.35,41.87,1.1,0.0,3.89
2013-10-18,1,0.0,2.8,0.09,0.0,0.22,6.35,0.02,0.13,0.05,5.55,1.55,0.0,2.25,1.38,0.1,0.07,0.05,5.67,19.16,0.16,0.57,1.2,0.35,29.07,0.76,0.0,3.1
2013-10-19,1,0.22,10.17,7.01,0.0,0.02,6.69,2.34,0.0,0.0,3.95,2.71,0.0,0.15,0.0,0.8,0.01,0.16,3.64,0.43,0.13,0.33,1.17,0.62,1.81,0.41,0.0,1.71
2013-10-20,1,0.08,3.08,0.27,6.13,1.01,0.23,0.2,0.0,0.0,0.0,9.52,0.21,0.0,0.0,1.42,0.03,5.03,0.36,0.5,0.91,0.0,0.2,0.47,0.0,0.21,0.0,1.19
2013-10-21,1,0.05,10.28,0.06,0.55,0.3,0.07,0.65,0.0,0.0,0.0,20.58,2.14,0.0,0.16,0.01,0.4,17.63,0.75,1.95,0.41,0.14,0.99,1.36,0.32,0.96,0.04,2.39
2013-10-22,1,0.12,0.13,0.02,0.04,0.0,0.0,2.65,0.03,0.0,0.0,0.12,0.0,0.28,0.0,0.0,0.01,2.27,0.02,4.52,0.57,0.61,0.04,0.05,1.02,0.58,0.05,0.52
2013-10-23,1,3.49,0.01,0.0,0.7,0.0,0.04,10.64,0.88,0.06,0.01,0.0,2.07,1.93,0.03,0.01,0.04,0.12,0.09,0.48,0.01,1.96,0.0,0.0,0.32,0.08,0.0,0.92
2013-10-24,1,0.17,0.02,1.34,0.09,0.28,0.02,1.29,0.02,0.27,0.06,0.0,5.76,5.69,0.0,0.0,0.12,4.4,0.0,2.57,0.02,7.85,1.05,0.69,0.62,0.06,0.0,1.3
2013-10-25,1,0.0,0.0,0.03,0.0,0.88,0.02,4.81,0.0,0.07,0.0,0.0,2.37,5.37,0.0,0.0,0.02,0.07,0.0,8.49,5.25,18.4,0.02,1.21,1.46,0.61,0.0,1.96
2013-10-26,1,0.01,0.0,0.02,0.0,30.64,0.0,2.7,0.0,0.0,0.17,0.0,0.59,0.06,0.19,0.87,0.01,0.01,0.01,4.68,0.12,0.63,0.0,0.0,3.11,4.89,0.07,1.95
2013-10-27,1,0.0,0.02,0.6,0.01,0.26,0.26,1.84,0.0,5.38,0.0,0.0,0.63,0.07,0.37,0.99,0.01,0.0,0.02,0.61,0.02,0.1,0.56,0.01,0.54,0.0,0.0,0.49
2013-10-28,1,0.0,0.39,26.23,0.02,0.02,2.59,23.5,18.01,4.49,1.07,0.01,0.32,0.0,0.0,0.75,2.77,0.0,0.0,0.05,0.02,0.02,0.0,0.0,5.05,0.0,0.0,3.41
2013-10-29,1,1.06,0.05,0.0,0.24,0.0,12.71,4.88,8.7,0.06,0.01,0.0,0.01,0.0,2.3,0.21,7.11,0.0,0.0,0.16,0.0,0.39,0.0,0.02,1.08,0.0,0.0,1.56
2013-10-30,1,1.45,2.71,0.0,0.0,0.0,1.14,0.0,0.25,0.0,0.0,-0.01,0.0,0.0,1.48,0.18,0.14,0.81,0.02,0.34,0.0,0.02,1.56,0.02,0.0,0.0,0.0,0.4
2013-10-31,1,0.02,0.0,0.0,0.0,0.23,0.54,0.01,0.01,0.26,0.06,0.0,3.07,5.92,0.03,0.01,1.47,0.1,1.02,0.13,0.0,0.48,12.09,0.85,0.0,-0.01,0.0,1.05
