date,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,obs,mean
2014-07-01,1,3.85,3.62,8.6,0.9,7.31,0.57,3.73,0.9,5.43,6.97,0.78,0.45,1.91,3.92,1.26,1.99,3.54,5.72,10.31,8.03,0.36,1.19,11.82,0.38,0.65,6.47,3.77
2014-07-02,1,3.93,5.28,6.6,4.0,1.79,3.41,31.94,1.62,9.76,16.65,13.29,3.1,3.5,3.59,8.23,6.7,4.82,3.74,6.49,9.65,1.27,5.63,10.03,26.25,9.15,3.67,8.02
2014-07-03,1,4.81,7.12,1.83,1.33,1.48,2.96,16.81,0.97,10.3,13.61,7.0,5.32,0.42,1.18,3.93,1.68,5.88,5.62,2.45,10.82,2.96,0.96,4.35,9.3,2.26,7.82,5.01
2014-07-04,1,0.22,0.03,1.03,0.03,0.28,0.28,0.08,0.03,0.91,1.53,0.09,1.31,0.0,0.54,0.19,0.12,5.44,0.61,10.58,0.54,0.72,0.94,0.36,0.5,0.2,0.2,1.06
2014-07-05,1,0.03,0.82,5.09,11.01,0.04,7.15,0.0,0.04,0.03,18.91,0.04,0.13,41.05,7.19,3.05,0.0,89.9,0.04,43.11,0.71,15.21,6.64,0.01,0.04,30.61,0.0,11.23
2014-07-06,1,0.03,11.21,12.17,3.77,0.27,33.4,22.74,47.33,0.01,16.22,39.46,18.99,7.37,15.32,16.66,3.25,12.75,0.01,4.12,30.88,13.14,7.07,0.02,0.03,1.78,0.35,12.72
2014-07-07,1,0.0,6.95,10.59,1.71,0.23,5.27,6.76,2.84,0.03,4.5,6.43,4.79,1.6,0.01,0.74,17.37,0.0,1.98,2.4,4.32,2.31,0.44,0.13,16.95,0.1,0.0,3.94
2014-07-08,1,1.05,12.47,11.19,29.69,1.5,0.19,0.74,10.17,0.53,4.13,1.9,0.04,1.93,5.92,0.43,1.97,0.04,15.04,8.19,1.44,1.04,3.84,3.36,1.8,10.45,4.75,5.16
2014-07-09,1,13.56,14.88,1.88,28.37,4.01,6.25,63.96,7.73,29.02,0.36,3.83,0.45,4.25,4.07,30.86,1.56,2.44,0.86,5.14,6.02,1.04,17.96,1.48,1.97,41.47,7.46,11.74
2014-07-10,1,42.66,1.75,4.2,0.95,14.2,14.69,46.92,0.01,6.14,8.96,4.5,11.39,4.42,0.71,53.14,2.85,0.35,5.98,0.61,43.64,33.52,66.81,0.1,1.47,69.14,0.2,17.56
2014-07-11,1,1.45,0.21,17.37,0.5,10.7,77.69,3.51,0.05,25.88,33.8,0.05,17.64,0.57,7.67,2.0,1.44,1.36,0.38,0.92,127.64,1.02,18.91,0.97,3.08,38.61,0.0,15.74
2014-07-12,1,0.43,9.15,55.7,0.01,2.15,0.08,15.46,0.01,1.5,33.25,0.26,0.16,0.23,11.74,19.38,0.72,0.57,23.13,1.13,8.47,0.49,0.24,0.13,0.6,76.12,0.0,10.44
2014-07-13,1,16.68,0.37,82.76,0.08,6.31,1.12,11.22,0.34,0.71,1.42,-0.01,13.5,1.01,4.13,56.95,13.67,0.71,46.22,22.58,1.59,0.15,0.01,0.47,1.14,0.02,1.58,11.33
2014-07-14,1,2.14,0.98,0.01,0.1,5.8,0.05,34.41,1.52,16.84,1.76,10.43,1.19,0.09,0.02,0.0,21.12,32.9,0.11,0.04,3.73,56.08,0.01,1.61,0.0,0.07,0.0,7.64
2014-07-15,1,0.12,0.38,19.99,0.09,0.61,0.2,28.64,1.28,8.76,11.97,75.12,0.51,0.01,0.0,0.0,7.4,48.51,0.0,0.04,2.23,8.26,18.11,0.14,0.14,0.0,0.23,9.3
2014-07-16,1,0.33,0.68,28.59,44.28,18.98,0.1,0.28,1.16,1.28,60.6,21.18,0.08,0.0,0.05,0.2,3.6,0.0,10.31,16.67,0.88,1.65,2.06,0.0,0.01,0.42,0.02,8.54
2014-07-17,1,17.25,0.43,5.5,30.54,10.15,0.19,0.07,4.56,0.25,7.51,12.1,0.23,1.32,1.93,2.66,0.01,2.5,28.93,21.95,2.2,0.02,14.72,0.05,0.03,0.96,0.63,6.64
2014-07-18,1,12.22,0.27,7.63,15.05,1.24,0.54,0.14,6.5,5.57,1.73,40.55,0.01,12.67,4.58,1.61,0.5,35.84,36.07,1.38,0.45,0.03,2.9,0.37,0.16,0.02,7.23,7.52
2014-07-19,1,20.38,0.73,3.52,5.82,5.32,0.83,0.08,6.02,9.59,1.88,20.25,2.31,32.36,0.47,3.9,22.96,20.09,13.01,15.08,0.11,0.09,0.24,0.65,0.09,0.27,2.7,7.44
2014-07-20,1,11.34,2.13,2.58,4.25,19.62,0.19,0.08,4.95,0.45,1.23,6.13,0.78,4.94,0.25,0.37,49.18,0.74,41.17,26.5,0.42,0.32,0.01,1.29,0.59,0.03,0.21,7.18
2014-07-21,1,0.92,5.2,1.54,24.7,17.45,2.8,0.04,0.94,9.58,0.48,39.23,0.08,2.08,5.76,0.02,5.29,15.33,13.31,49.97,1.23,0.0,0.16,30.2,1.13,0.33,0.0,9.11
2014-07-22,1,32.61,0.88,2.17,8.01,1.02,7.48,0.0,0.92,16.08,2.18,53.1,-0.01,1.58,23.33,1.18,0.0,6.33,0.48,17.16,1.42,0.0,0.1,19.99,0.72,0.02,0.97,7.87
2014-07-23,1,17.31,11.81,0.55,40.84,0.11,0.37,5.26,14.07,50.12,0.46,20.01,0.16,0.02,4.34,0.09,0.21,1.65,0.0,4.19,77.56,0.0,2.33,32.06,0.18,0.56,22.72,11.37
2014-07-24,1,29.83,3.62,0.63,22.59,0.02,0.08,3.01,3.1,8.84,0.0,10.88,0.43,0.01,0.73,5.33,28.56,1.56,0.0,0.2,50.23,0.08,1.28,3.06,1.48,1.3,12.26,7.07
2014-07-25,1,10.53,7.03,4.52,3.34,0.19,0.0,0.09,1.94,2.71,0.03,1.74,0.18,0.05,0.0,1.07,26.78,1.17,3.33,0.02,11.45,0.56,7.09,1.26,0.33,0.08,4.5,3.42
2014-07-26,1,8.27,4.42,19.45,15.83,0.01,0.0,0.12,0.01,1.29,2.44,1.7,0.0,0.0,0.03,0.02,0.04,2.35,5.36,0.63,2.71,0.57,5.08,1.3,0.01,1.14,2.82,2.91
2014-07-27,1,0.0,21.78,5.68,37.71,0.16,0.01,3.7,0.04,0.01,0.02,0.56,0.04,0.23,0.09,0.55,3.74,13.65,0.53,0.1,0.01,2.21,0.1,3.01,2.99,1.2,0.17,3.92
2014-07-28,1,0.05,2.75,0.85,34.39,4.71,0.37,9.17,0.23,0.03,0.03,2.33,0.47,1.47,0.2,0.3,9.33,3.65,0.5,6.5,0.0,6.95,7.86,3.68,6.72,0.04,0.0,4.1
2014-07-29,1,0.01,2.64,0.04,11.16,2.88,2.9,3.33,0.4,2.55,2.93,35.47,0.24,0.14,0.05,0.0,2.08,1.77,10.04,5.61,0.0,2.48,2.95,6.32,0.83,8.51,0.75,4.21
2014-07-30,1,0.3,9.99,0.12,3.84,4.27,0.83,5.73,0.63,2.13,1.21,1.87,0.05,0.53,3.71,0.07,5.15,1.6,10.17,14.97,-0.01,2.87,14.84,4.6,0.01,0.88,0.38,3.61
2014-07-31,1,0.22,0.07,0.08,14.07,3.87,4.8,0.01,0.27,1.29,0.1,12.14,5.49,0.46,3.8,2.99,20.4,9.94,5.8,4.06,2.02,1.47,61.94,2.54,0.0,3.5,13.17,6.45
2014-08-01,2,0.16,0.16,-0.01,2.93,0.13,2.0,0.11,5.27,1.33,0.04,35.07,26.29,0.06,5.49,35.02,1.21,70.45,5.06,25.73,1.11,1.32,41.97,11.86,0.04,0.12,0.05,10.92
2014-08-02,2,0.16,0.23,9.14,0.32,0.0,8.27,0.16,7.71,5.31,0.04,28.03,8.3,0.33,10.32,26.55,0.16,1.73,3.73,52.6,2.65,4.89,0.61,8.92,12.96,0.01,0.68,7.73
2014-08-03,2,0.08,1.83,6.29,0.72,11.75,6.55,0.0,12.16,32.25,2.5,1.79,3.36,0.33,2.76,6.56,38.52,4.39,1.53,37.71,1.28,5.0,0.59,2.1,19.18,2.68,22.8,8.08
2014-08-04,2,0.14,1.94,4.69,0.29,19.17,6.21,0.0,1.9,0.77,5.51,1.61,62.23,0.0,0.38,50.14,84.74,3.48,0.72,1.65,0.97,1.57,0.49,3.12,1.14,1.06,7.16,10.16
2014-08-05,2,0.06,3.35,3.65,0.25,3.23,1.47,0.01,2.14,0.5,13.74,8.1,3.86,0.45,0.01,14.62,40.28,10.93,0.23,0.75,1.97,1.59,0.07,24.78,0.31,0.39,6.24,5.47
2014-08-06,2,0.78,1.61,2.74,0.12,1.67,14.86,4.15,2.26,0.51,9.2,6.68,4.52,0.08,7.22,0.0,7.26,21.79,0.32,0.65,0.08,0.3,0.02,8.11,0.04,8.14,17.63,4.12
2014-08-07,2,0.61,9.04,2.64,0.06,0.02,0.18,0.62,1.69,0.96,0.61,3.96,6.62,0.12,1.48,0.0,1.15,3.46,0.22,1.02,0.16,0.59,8.8,1.14,0.28,1.81,19.38,1.89
2014-08-08,2,1.64,14.72,6.55,0.0,0.0,0.99,1.75,2.87,17.33,0.66,0.13,4.57,1.03,0.01,0.04,1.45,8.63,1.76,2.2,2.27,0.29,9.47,2.67,0.01,0.61,0.38,3.27
2014-08-09,2,1.26,3.31,2.19,0.43,0.39,0.04,3.25,2.06,0.96,0.1,0.01,2.24,0.71,0.94,0.0,0.65,1.22,3.3,0.17,12.35,0.96,18.0,9.35,0.0,2.97,1.99,2.67
2014-08-10,2,1.49,1.24,6.86,2.1,0.67,2.68,32.07,0.08,0.77,8.75,0.18,6.62,0.17,10.25,0.06,15.46,0.77,1.47,0.01,2.3,13.45,2.19,87.79,0.24,19.08,45.37,8.67
2014-08-11,2,7.81,19.66,0.84,7.45,0.18,13.38,16.35,0.06,0.72,5.03,0.1,0.74,0.18,3.43,0.02,0.9,2.69,1.02,0.36,3.6,2.67,2.68,80.28,0.77,7.02,1.66,7.12
2014-08-12,2,2.46,68.33,0.61,12.75,1.27,0.93,23.17,0.59,0.87,3.54,1.06,0.11,0.49,3.04,0.31,0.88,2.01,1.7,0.66,18.26,25.45,1.47,2.27,0.31,0.74,0.0,6.93
2014-08-13,2,4.11,1.11,0.45,6.27,2.89,0.77,2.64,0.42,0.19,0.0,0.18,0.88,0.91,6.03,2.19,12.84,4.84,0.91,2.94,0.42,9.9,10.7,0.32,2.8,0.1,6.22,2.99
