date,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,obs,mean
2020-11-01,1,2.25,1.1,2.27,1.02,1.29,2.45,1.49,1.42,1.35,1.59,2.41,1.4,1.91,1.82,1.72,2.87,1.14,1.74,1.24,1.47,1.64,2.27,1.18,2.68,1.87,1.13,1.54,2.22,1.43,2.03,1.61,1.77,1.71,1.25,1.42,1.43,2.06,1.49,2.47,1.62,2.15,1.66,2.17,1.37,2.5,1.24,1.4,1.29,2.22,2.31,1.74,1.32,1.74
2020-11-02,1,0.02,0.0,0.04,0.2,0.0,0.0,0.07,0.26,0.0,0.01,0.01,0.21,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.12,0.0,0.06,0.01,0.25,2.69,0.0,-0.01,0.19,0.12,0.01,0.0,0.42,0.01,0.14,0.0,0.01,0.21,0.21,0.02,0.0,0.16,0.0,0.0,0.26,0.32,0.07,0.02,0.0,0.01,0.0,0.02,0.12
2020-11-03,1,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,-0.01,0.05,-0.01,0.0,0.0,0.02,0.01,0.0,0.0,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.58,0.0
2020-11-04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,-0.0
2020-11-05,1,0.01,0.17,0.02,1.71,0.0,0.91,0.0,0.07,0.65,0.74,0.0,0.01,0.03,0.19,0.19,0.0,1.1,0.3,0.1,0.21,0.02,0.54,0.0,0.39,0.0,0.01,0.0,0.05,1.51,0.9,0.0,1.1,0.0,0.07,0.0,0.56,0.51,0.22,0.01,0.51,0.03,0.01,0.0,0.14,0.0,0.03,0.27,0.24,0.0,0.03,0.28,0.0,0.27
2020-11-06,1,1.85,1.17,4.44,2.41,1.17,1.19,0.14,3.92,0.98,0.13,1.47,1.21,0.92,0.32,3.06,1.52,2.46,0.46,1.17,0.65,0.17,2.68,0.16,0.63,0.26,1.11,1.0,0.28,3.9,1.09,2.46,2.14,0.15,2.83,3.11,4.36,0.77,1.47,0.58,0.45,0.88,0.59,0.26,2.96,1.8,1.6,0.22,0.64,0.35,0.69,2.05,0.0,1.42
2020-11-07,1,0.02,0.0,0.16,0.0,0.0,0.01,0.01,0.11,0.0,0.21,0.05,0.01,0.02,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.08,0.02,0.0,0.12,0.0,0.16,0.07,0.34,0.0,0.0,0.01,0.0,0.05,0.06,0.0,0.0,0.0,0.07,0.07,0.0,0.16,0.01,0.02,0.07,0.02,0.01,0.0,0.0,0.05
2020-11-08,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
2020-11-09,1,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.08,0.16,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.19,0.13,0.0,0.1,0.0,0.0,0.1,0.03,0.01,-0.01,0.02,0.0,0.0,0.49,0.01,0.11,0.01,0.02,0.0,0.0,0.01,0.0,0.0,0.47,0.0,0.04
2020-11-10,1,0.0,0.07,0.09,0.0,0.0,2.41,0.99,0.0,0.0,0.0,0.01,0.22,0.0,0.02,0.0,1.37,0.0,0.0,0.02,0.12,0.0,0.15,0.54,0.01,0.18,0.14,0.0,0.32,0.0,0.62,0.0,0.08,0.12,0.01,0.69,0.0,0.01,1.55,0.12,0.34,0.3,0.12,0.0,0.0,0.0,0.0,1.8,0.4,0.0,0.03,0.06,0.0,0.25
2020-11-11,1,0.01,1.01,0.04,0.05,0.0,0.06,0.03,0.43,-0.01,0.78,0.2,0.0,0.0,0.13,0.02,1.01,0.02,0.02,0.0,0.3,0.0,0.37,0.0,0.01,1.37,0.22,0.0,0.0,0.0,0.06,0.0,0.37,0.0,0.02,0.0,0.42,0.24,0.16,0.04,2.27,0.07,0.74,0.03,0.0,0.01,0.25,0.0,0.0,0.02,0.01,0.82,0.0,0.23
2020-11-12,1,14.59,0.0,0.0,0.0,0.12,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.08,0.26,0.0,0.01,0.1,0.14,1.26,0.0,0.01,0.02,0.0,0.16,0.39,0.0,0.08,0.0,0.0,0.0,0.01,0.02,0.16,1.86,0.0,0.14,0.0,0.0,5.22,1.52,0.03,0.25,1.21,0.0,0.06,0.0,0.23,0.0,0.06,0.0,0.01,0.0,0.55
2020-11-13,1,5.42,0.07,0.11,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.02,0.36,0.7,0.0,0.03,0.03,0.66,0.0,0.43,0.07,0.11,0.07,0.02,0.0,3.54,1.04,0.0,0.0,0.06,0.0,0.02,0.0,2.74,1.9,0.0,0.0,0.26,0.14,0.0,0.0,0.0,4.88,0.23,0.0,0.0,0.06,0.88,0.0,0.19,0.0,0.48
2020-11-14,1,0.11,0.0,0.07,0.0,0.17,0.01,0.02,0.14,0.0,0.0,0.01,0.12,0.0,0.86,2.01,0.01,0.43,0.17,0.0,0.0,0.39,32.04,0.17,0.0,0.0,0.12,0.22,1.88,0.82,0.29,0.0,0.0,0.0,0.72,21.38,9.6,0.0,0.48,0.0,0.4,0.0,0.0,0.0,0.07,0.04,0.07,0.0,2.73,0.23,0.0,0.56,0.0,1.5
2020-11-15,1,0.01,0.12,-0.01,0.04,0.0,0.0,0.0,20.33,0.02,2.35,0.04,0.16,0.0,0.0,0.0,0.01,0.24,1.16,0.0,35.07,0.0,1.09,0.0,0.0,0.0,0.0,0.02,1.04,0.0,0.02,0.17,0.0,0.04,6.46,0.0,19.81,0.0,1.42,0.34,0.32,0.01,0.26,0.0,0.0,1.75,0.09,0.0,0.03,0.03,0.02,0.3,0.0,1.82
2020-11-16,1,0.0,0.01,0.0,0.24,0.12,0.0,0.0,1.01,0.02,2.67,0.3,0.03,0.0,0.33,0.17,0.01,8.81,1.75,0.0,1.46,0.0,3.53,0.0,0.68,0.0,0.0,0.0,0.05,0.0,0.15,2.01,0.0,0.0,1.4,0.0,0.0,0.47,1.37,2.46,0.06,0.0,0.15,0.01,0.01,8.03,0.0,0.0,0.17,0.4,0.26,0.0,0.01,0.75
2020-11-17,1,0.0,0.51,0.21,0.01,0.0,0.0,11.34,0.0,1.1,2.36,0.34,0.0,0.07,12.03,2.6,8.97,4.47,1.64,0.26,0.0,0.29,3.13,0.01,2.59,0.01,-0.02,0.0,1.09,0.02,0.68,5.81,0.0,0.0,0.36,4.59,0.0,11.62,4.92,1.13,0.0,0.02,0.58,0.0,0.18,0.2,0.07,0.02,0.23,0.07,0.72,0.07,0.24,1.65
2020-11-18,1,0.01,1.15,0.01,0.0,0.0,0.0,9.83,0.01,0.0,0.42,2.07,0.44,0.43,30.09,0.27,0.12,0.49,16.04,0.5,0.21,3.25,0.11,0.72,0.87,0.0,0.02,0.01,0.06,0.12,0.74,5.62,21.57,0.83,0.02,6.95,0.32,0.84,0.0,0.02,1.38,0.0,1.89,0.0,0.16,0.66,0.0,0.9,0.73,10.9,7.02,0.01,3.15,2.51
2020-11-19,1,24.77,18.46,0.17,0.0,0.11,0.24,0.38,0.27,0.4,0.02,0.52,0.12,0.3,0.65,0.0,6.61,0.63,12.99,0.02,3.51,0.15,0.0,1.47,0.04,0.79,0.39,0.68,0.52,0.0,0.42,5.87,6.82,1.89,0.16,4.15,2.47,0.13,0.0,0.05,0.73,0.02,0.73,17.05,0.01,0.07,0.0,0.0,0.0,0.96,0.0,0.0,28.65,2.27
2020-11-20,1,0.27,9.48,0.12,0.71,-0.01,0.06,0.22,0.0,0.06,15.5,0.31,0.01,0.15,0.01,0.02,1.05,0.08,1.42,0.4,3.0,0.0,0.12,0.0,0.0,2.5,0.26,0.23,0.05,0.1,0.58,0.37,1.29,0.18,0.06,2.61,0.02,4.55,0.68,0.4,0.01,0.58,1.24,1.06,0.0,4.05,0.65,1.55,1.44,13.06,0.0,0.0,0.01,1.38
2020-11-21,1,2.68,6.52,58.63,0.04,0.0,2.64,0.07,1.42,0.0,2.46,0.01,0.84,0.0,0.0,0.09,8.35,1.73,0.0,0.33,8.4,0.02,19.77,0.05,0.0,4.47,0.65,0.0,0.12,1.52,0.28,0.77,1.95,0.53,0.06,2.17,1.33,0.44,1.47,0.76,0.0,0.08,0.09,0.02,0.01,0.02,0.16,0.01,0.38,0.23,0.0,0.32,0.0,2.59
2020-11-22,1,0.4,0.21,3.15,1.09,0.01,14.96,24.06,0.02,0.01,0.56,0.0,3.11,0.48,0.0,2.07,1.45,0.0,0.08,1.38,0.61,3.67,0.3,0.0,0.01,0.08,19.01,0.0,0.06,2.09,0.68,3.73,1.34,0.0,0.11,2.5,0.02,0.21,0.0,0.0,0.02,1.25,0.0,4.01,0.01,0.01,0.12,0.0,0.07,0.0,0.0,0.11,2.5,1.82
2020-11-23,1,0.06,0.0,0.36,0.0,2.03,3.14,0.41,0.01,2.61,0.01,0.06,29.36,2.76,0.11,0.01,0.02,0.0,0.89,0.66,0.01,2.3,0.0,0.05,0.37,0.0,1.05,0.0,0.0,0.34,0.06,0.03,1.28,0.02,0.01,2.97,0.0,3.81,0.32,0.6,0.0,1.05,0.64,22.51,0.05,4.66,1.06,0.07,3.03,0.0,0.02,0.03,0.0,1.74
2020-11-24,1,1.38,0.0,0.12,0.0,7.45,1.6,0.0,0.85,6.95,0.0,1.82,0.91,3.65,0.3,0.0,0.0,0.02,1.15,1.71,0.5,2.87,-0.01,0.59,1.0,21.24,0.38,0.01,0.0,1.32,0.12,0.0,3.17,0.12,0.21,1.03,1.34,7.39,0.88,0.0,0.07,0.02,0.0,3.37,0.35,0.0,0.76,0.0,4.12,0.54,0.0,0.52,0.0,1.57
2020-11-25,1,0.0,0.0,0.01,1.52,1.24,4.02,0.15,0.54,1.07,0.0,0.0,4.47,0.59,0.5,0.0,0.0,1.66,0.29,1.72,0.29,2.36,2.24,0.08,0.27,14.36,2.24,0.07,0.0,0.0,3.39,0.37,1.16,0.0,1.29,0.01,0.28,2.18,0.06,0.0,0.21,0.0,0.4,1.63,0.0,0.07,3.51,0.0,2.02,1.1,0.0,0.07,0.0,1.13
2020-11-26,1,0.0,0.02,4.7,15.78,0.0,1.34,6.29,0.05,0.07,0.0,0.06,3.15,0.0,0.7,0.86,0.77,0.4,0.0,0.35,0.43,1.2,4.91,0.0,0.12,0.0,4.39,5.69,6.72,0.07,0.07,0.0,24.18,0.05,0.13,0.21,0.59,0.02,0.0,0.0,1.29,0.17,0.06,0.09,0.21,0.47,0.02,1.3,0.39,0.01,0.0,1.38,0.0,1.74
2020-11-27,1,2.76,0.28,0.4,16.61,0.0,0.57,14.85,0.0,0.26,0.13,0.0,0.09,0.0,0.02,0.0,3.3,0.81,0.0,1.11,0.91,0.0,1.36,0.0,0.0,0.77,3.26,0.0,7.58,4.05,0.0,0.0,9.15,0.06,0.56,0.07,0.0,0.0,0.0,0.86,0.15,0.28,11.78,0.06,0.0,0.79,0.0,20.67,0.9,0.0,0.0,1.03,0.0,2.07
2020-11-28,1,5.14,0.01,0.0,0.49,0.0,1.99,4.28,0.97,1.43,0.0,0.14,0.0,0.01,0.0,0.4,0.02,0.06,0.35,0.0,0.02,0.01,0.01,0.0,0.07,0.2,0.99,0.0,1.56,0.19,0.46,0.0,0.02,0.02,0.07,0.05,0.0,0.0,0.01,0.85,0.81,0.01,1.39,2.46,0.0,0.06,0.0,5.22,1.56,0.04,0.47,0.0,0.0,0.62
2020-11-29,1,0.85,0.16,0.01,2.3,0.0,0.01,0.12,0.49,1.52,17.85,9.81,0.16,0.01,0.0,0.01,0.0,0.21,0.88,0.46,0.01,0.02,0.0,0.25,0.26,1.38,2.11,0.04,0.0,0.42,1.06,0.0,0.02,0.04,0.23,0.51,0.01,0.0,1.99,0.18,25.86,11.63,0.03,3.67,0.64,0.01,0.68,1.43,1.3,5.53,0.0,0.0,0.0,1.85
2020-11-30,1,0.01,2.52,0.0,1.98,0.0,0.0,0.0,0.82,0.02,2.05,3.64,0.0,8.54,0.21,3.84,0.15,0.0,1.34,0.34,0.49,0.03,0.04,0.0,1.2,0.12,8.38,1.34,0.59,0.18,6.61,0.18,0.01,0.0,3.05,0.04,0.0,0.07,1.56,5.4,20.14,5.2,0.16,0.0,0.09,0.0,0.94,0.07,0.01,15.78,0.0,4.25,0.0,1.99
2020-12-01,2,0.0,0.0,0.0,1.61,0.31,0.06,0.0,0.03,0.03,0.09,0.14,0.0,0.43,0.0,0.11,0.44,1.26,0.52,0.02,0.08,0.06,0.09,-0.01,0.42,0.0,3.6,0.0,0.22,0.01,0.23,0.14,0.0,3.04,0.01,0.13,0.0,1.16,1.32,0.23,0.01,0.01,0.15,0.08,0.0,0.1,0.02,0.01,0.32,0.01,4.21,1.73,0.0,0.44
2020-12-02,2,0.0,1.4,3.56,0.15,0.13,0.0,0.0,3.21,0.01,0.52,0.01,0.14,0.01,2.09,1.04,0.0,6.64,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.1,2.64,0.01,0.0,0.0,6.77,0.06,0.08,0.43,2.27,1.23,0.2,0.06,0.42,0.24,0.04,0.02,0.0,0.0,0.43,1.3,0.01,0.08,0.04,0.62,0.01,0.24,0.07,0.71
2020-12-03,2,3.11,2.16,5.01,0.0,0.06,0.02,0.03,0.29,0.12,0.15,0.05,0.0,0.05,0.1,0.0,0.0,0.26,0.02,0.04,0.0,0.0,0.0,0.0,0.0,1.96,0.01,0.36,0.01,0.0,3.65,0.68,0.0,1.33,0.39,2.81,0.08,0.02,0.53,0.0,0.17,0.0,0.0,0.0,0.01,0.0,0.21,0.0,0.09,0.05,0.0,0.1,0.0,0.47
2020-12-04,2,1.57,0.53,0.22,0.0,0.0,0.15,0.6,0.04,0.87,0.0,0.14,0.0,1.57,0.09,0.0,0.04,4.04,0.0,0.0,0.0,0.02,0.09,0.57,0.18,0.02,0.01,2.13,0.0,0.0,0.26,0.07,0.03,0.03,0.0,0.49,0.12,0.4,0.01,0.0,0.07,0.01,0.01,0.0,0.05,0.13,0.63,0.0,0.22,0.02,0.05,0.0,0.0,0.3
2020-12-05,2,0.0,0.0,0.48,0.01,0.0,0.18,0.03,0.06,0.0,0.04,0.16,0.02,2.77,0.01,0.42,0.09,0.15,0.01,0.36,1.79,0.01,3.26,1.67,0.0,0.0,2.93,0.01,0.03,-0.01,0.03,0.0,0.09,0.22,0.72,0.15,0.11,1.96,0.39,0.0,0.01,0.55,0.59,0.38,0.24,0.0,1.56,0.0,0.13,0.0,0.09,0.02,0.0,0.43
2020-12-06,2,0.0,0.12,0.0,0.0,0.28,6.46,0.01,0.25,0.14,1.32,0.09,0.15,0.13,0.08,0.0,0.0,0.04,2.23,0.0,0.19,2.73,0.07,0.48,0.14,0.06,0.73,0.0,0.01,0.0,0.48,0.01,0.0,0.46,0.0,0.01,0.77,1.01,0.0,0.31,0.48,1.04,0.01,0.0,4.79,0.19,0.19,4.15,0.0,0.0,0.23,0.14,0.0,0.59
2020-12-07,2,0.94,0.11,0.03,1.24,0.01,0.49,0.0,0.18,2.81,0.02,0.26,0.4,0.01,0.4,0.01,0.0,0.64,5.91,0.0,0.0,14.51,0.36,0.0,1.81,0.06,0.06,0.0,0.04,0.0,1.49,0.21,0.12,1.6,0.0,2.15,2.26,0.06,0.05,7.26,0.09,0.03,0.0,0.0,0.14,4.76,0.05,0.16,0.0,0.01,0.9,0.02,0.02,1.01
2020-12-08,2,0.12,0.0,3.61,0.01,0.0,0.0,0.0,3.35,0.33,0.0,0.01,0.79,0.01,0.01,0.01,0.0,0.05,1.43,0.13,0.0,4.5,0.02,1.8,0.81,0.0,0.05,0.04,0.85,0.0,1.05,0.0,0.0,0.03,0.0,0.66,0.16,4.03,0.0,0.49,9.22,0.24,0.0,0.26,0.53,0.0,0.0,0.02,0.0,0.29,1.58,0.08,0.0,0.72
2020-12-09,2,0.0,0.0,0.02,0.11,0.0,0.17,9.71,0.0,0.0,0.25,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.02,1.85,0.0,3.54,0.0,0.05,0.19,0.37,0.46,2.74,0.08,0.37,0.0,0.18,0.05,0.68,1.01,0.13,0.01,0.0,0.88,0.03,1.2,0.0,0.0,0.0,0.92,0.01,0.7,-0.01,0.0,0.35,0.0,0.01,0.0,0.51
2020-12-10,2,0.01,0.0,0.23,0.0,0.0,0.03,0.39,0.0,0.0,0.0,0.03,-0.01,3.49,0.01,0.0,0.0,0.0,1.79,0.01,0.01,0.22,0.17,0.01,0.02,0.28,0.01,2.04,0.0,11.53,0.0,0.5,5.29,0.01,1.01,0.26,0.01,0.04,0.0,0.0,0.23,0.0,0.12,0.0,0.0,3.58,0.07,2.9,0.05,0.0,0.0,0.23,0.02,0.68
2020-12-11,2,0.16,0.0,0.0,0.03,0.05,0.0,0.77,0.01,9.69,0.0,0.29,1.57,0.18,0.01,0.0,0.5,0.0,0.23,0.0,1.88,1.0,0.1,0.08,0.04,0.0,0.0,0.61,0.02,1.43,0.0,0.0,0.0,0.08,1.17,0.8,0.0,0.53,0.0,0.0,0.0,0.68,0.67,0.0,0.14,4.65,0.0,0.58,0.03,0.0,0.0,0.17,0.0,0.55
2020-12-12,2,0.02,0.01,0.07,0.0,0.23,0.02,0.69,0.0,0.27,0.02,0.01,0.0,0.0,0.08,0.0,0.15,0.5,0.04,0.0,5.14,0.39,1.3,0.01,2.0,0.01,0.01,0.0,0.01,4.58,0.01,0.0,0.04,0.22,0.01,1.71,1.03,2.55,0.19,0.15,0.0,4.78,0.0,0.12,0.01,0.55,0.09,0.08,0.0,0.81,0.0,0.01,0.0,0.55
