date,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,obs,mean
2019-07-01,1,0.0,0.33,0.01,0.0,0.24,2.71,0.03,0.0,0.05,0.0,0.03,0.11,0.01,0.01,0.09,0.0,0.16,0.0,0.01,0.07,0.01,0.0,0.0,0.01,0.04,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.0,0.11,0.01,0.04,0.0,0.07,0.0,0.0,0.0,0.32,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.09
2019-07-02,1,0.01,0.05,0.0,0.0,0.09,0.11,0.0,0.0,0.01,0.0,0.01,0.03,0.0,0.24,0.02,0.0,0.0,0.07,0.0,0.0,0.04,0.0,0.0,0.0,0.01,0.0,0.01,0.1,0.01,0.0,0.0,0.01,0.0,0.09,0.04,0.0,0.02,0.03,0.07,0.0,0.01,0.0,0.0,0.0,0.03,0.01,0.0,0.0,0.02,0.01,0.1,0.0,0.02
2019-07-03,1,0.19,0.01,0.01,0.08,0.01,0.24,0.54,0.0,0.05,0.61,0.0,0.14,0.0,0.75,0.0,0.02,0.04,0.65,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.18,0.05,0.2,0.0,0.02,0.09,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.03,0.01,3.15,0.0,0.0,0.0,0.33,0.9,0.0,0.12,0.22,0.08,0.05,4.29,0.18
2019-07-04,1,0.21,0.0,0.04,0.0,0.04,0.0,-0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.04,0.0,0.0,0.07,0.01,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.66,0.54,0.42,0.0,0.0,0.0,0.0,0.01,0.0,0.13,-0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05
2019-07-05,1,0.11,2.84,0.2,7.77,0.04,0.0,0.28,0.0,1.87,0.0,0.07,0.97,0.04,0.09,0.0,0.0,0.01,0.05,0.25,0.01,0.0,6.06,0.03,0.09,0.36,0.02,0.56,0.0,0.82,0.0,12.48,0.0,1.29,0.15,0.0,0.02,3.42,0.0,6.15,0.13,9.79,0.65,0.03,0.0,1.85,0.0,0.24,0.36,0.0,0.16,2.46,0.69,1.21
2019-07-06,1,0.08,19.67,9.21,14.15,0.46,0.69,75.76,0.98,1.16,0.98,0.32,0.31,0.03,31.36,0.03,0.07,0.12,0.09,10.61,2.1,40.24,0.12,0.68,15.81,19.14,1.31,0.13,0.0,0.04,0.38,1.35,1.53,24.31,0.28,4.41,0.48,6.97,55.87,10.11,4.62,61.73,10.53,37.22,0.28,13.71,38.63,0.2,0.0,3.02,1.88,0.24,0.03,10.26
2019-07-07,1,0.08,3.24,0.04,0.88,2.0,0.04,14.69,5.58,2.47,0.39,0.09,0.19,0.02,0.11,4.81,0.27,0.0,2.92,1.17,0.67,0.46,0.01,0.03,6.43,1.16,0.14,0.21,0.1,0.3,4.82,19.39,3.61,1.62,0.57,6.99,0.63,0.28,6.73,0.08,0.89,13.39,1.49,3.52,0.15,0.78,0.5,1.91,0.25,0.45,0.74,0.2,0.16,2.3
2019-07-08,1,0.03,3.53,6.99,1.53,6.78,0.39,3.03,5.73,1.08,0.48,3.19,2.9,1.3,6.77,6.4,0.25,1.77,3.8,0.02,1.09,0.78,0.0,0.1,5.39,0.09,4.6,0.59,0.4,0.12,3.18,6.7,5.41,0.54,1.83,0.95,0.78,0.19,0.3,1.04,0.11,0.25,0.39,2.54,0.3,4.73,1.03,2.07,0.21,0.1,28.2,6.45,0.53,2.68
2019-07-09,1,16.69,6.7,0.88,0.67,1.89,0.35,0.08,3.23,3.58,0.75,34.91,1.09,0.18,0.47,2.14,0.02,5.01,4.4,1.45,0.48,0.12,0.02,0.84,0.77,8.61,0.57,0.0,0.67,0.09,0.03,0.27,2.68,1.16,0.61,0.15,0.24,9.0,0.15,1.31,0.93,0.45,0.93,0.1,15.16,1.56,3.37,33.06,0.32,0.23,0.62,9.21,0.17,3.49
2019-07-10,1,47.91,1.53,0.01,0.01,25.17,0.65,1.59,1.5,31.11,0.51,9.55,27.53,0.0,0.13,1.02,0.31,1.47,3.26,65.31,2.68,22.97,36.05,0.09,0.66,8.06,0.77,0.0,1.47,70.07,0.83,22.97,0.47,1.21,0.09,0.09,0.03,114.17,0.08,2.78,0.08,0.36,35.2,0.97,12.12,3.07,0.61,51.0,2.09,0.01,0.28,8.16,11.46,12.12
