date,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,obs,mean
2017-01-01,1,0.06,0.11,0.08,0.05,0.04,0.04,0.16,0.05,0.04,0.1,0.04,0.1,0.02,0.1,0.02,0.15,0.02,0.01,0.31,0.02,0.14,0.19,0.02,0.04,0.08,0.01,0.36,0.04,0.1,0.01,0.07,0.21,0.02,0.04,0.16,0.01,0.3,0.01,0.14,0.06,0.05,0.06,0.16,0.01,0.1,0.05,0.11,0.01,0.16,0.03,0.21,0.06,0.09
2017-01-02,1,0.1,0.07,0.13,0.04,0.13,0.04,0.08,0.07,0.05,0.05,0.11,0.03,0.22,0.1,0.06,0.05,0.05,0.2,0.05,0.05,0.03,0.07,0.04,0.04,0.05,0.19,0.02,0.04,0.19,0.09,0.08,0.05,0.01,0.07,0.09,0.08,0.07,0.08,0.06,0.03,0.13,0.16,0.03,0.05,0.05,0.08,0.07,0.08,0.06,0.13,0.04,0.03,0.08
2017-01-03,1,0.01,0.0,0.02,0.04,0.0,0.0,0.01,0.03,0.01,0.2,0.0,0.0,0.02,0.02,0.02,0.01,0.0,0.02,0.12,0.0,0.1,0.02,0.01,0.16,0.0,0.07,0.01,0.01,0.07,0.0,0.07,0.05,0.02,0.02,0.02,0.01,0.01,0.0,0.02,0.04,0.0,0.0,0.02,0.0,0.17,0.01,0.0,0.0,0.02,0.0,0.01,0.0,0.03
2017-01-04,1,0.31,0.21,0.02,0.0,0.04,0.01,0.26,0.24,0.0,0.17,0.04,0.05,0.26,-0.01,0.25,0.1,0.19,0.28,0.07,0.13,0.42,0.28,0.27,0.02,0.18,0.45,0.18,0.09,0.0,0.19,0.31,0.1,0.14,0.31,0.22,0.0,0.23,0.37,0.08,0.36,0.0,0.25,0.19,0.4,0.59,0.07,0.12,0.1,0.48,0.03,0.19,0.0,0.18
2017-01-05,1,0.72,0.84,0.11,0.0,0.21,0.08,0.02,0.04,0.13,0.25,0.27,0.73,0.13,0.0,0.17,0.3,1.29,3.08,0.04,0.01,0.84,0.24,0.59,0.02,0.37,1.46,0.01,0.07,0.05,0.04,0.57,0.02,0.87,0.01,1.23,0.06,0.19,0.63,0.12,0.23,0.1,0.29,1.42,0.16,0.37,0.47,0.26,0.6,0.07,1.0,0.01,0.23,0.41
2017-01-06,1,0.02,0.0,0.01,0.01,0.0,0.27,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.08,0.01,0.05,0.18,0.0,0.0,0.02,0.0,0.04,0.0,0.0,-0.01,0.02,0.0,0.23,0.0,0.17,0.01,0.16,0.02,0.21,0.01,0.0,0.0,0.05,0.0,0.2,0.02,0.28,0.0,0.06,0.04,0.01,0.07,0.0,0.0,0.0,0.04,0.04
2017-01-07,1,6.17,4.25,0.25,12.58,0.01,11.78,0.07,0.01,0.04,2.22,0.49,12.15,0.4,0.08,0.14,4.21,7.63,0.68,0.08,0.07,0.79,0.23,0.48,0.05,0.1,0.78,0.0,14.98,0.71,3.96,16.55,0.26,0.07,0.13,3.78,0.21,15.54,5.01,0.25,0.0,0.16,0.25,1.92,19.58,0.36,9.52,0.25,0.42,4.65,0.27,11.08,0.0,3.44
2017-01-08,1,0.78,13.65,0.01,5.32,0.01,2.61,0.02,0.07,0.13,9.06,2.96,3.19,0.08,0.11,0.38,2.54,3.9,0.17,0.11,0.36,4.2,0.05,1.74,0.98,1.27,1.27,0.0,2.64,1.57,7.29,4.01,0.13,0.06,0.65,8.16,0.03,0.1,5.9,0.71,1.09,0.01,0.69,1.13,2.44,1.21,0.49,0.37,0.88,0.96,0.43,0.68,0.12,1.89
2017-01-09,1,0.12,0.01,0.13,0.08,0.01,0.17,0.06,0.0,0.03,0.33,0.02,0.01,0.66,0.02,0.01,0.02,0.05,0.01,0.16,1.2,0.25,0.04,1.02,0.01,2.12,0.33,0.06,0.02,0.08,0.08,0.1,0.01,0.02,0.02,0.0,0.31,0.02,0.17,0.08,0.08,0.43,0.0,0.9,0.05,3.33,0.95,0.01,2.29,0.1,0.45,0.07,0.38,0.32
2017-01-10,1,0.02,0.0,0.8,0.0,0.05,0.02,0.01,0.01,0.01,0.0,0.02,0.0,0.06,0.0,0.25,0.0,0.48,1.83,1.16,0.03,0.24,0.03,0.04,0.16,0.97,0.17,0.82,0.07,0.14,0.05,0.15,0.0,0.04,2.23,0.04,0.75,0.0,0.0,0.07,0.1,0.57,0.01,0.02,0.88,0.13,0.64,0.0,2.65,0.01,0.0,0.35,0.0,0.32
