date,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,obs,mean
2014-01-01,1,0.0,0.14,0.0,0.19,0.0,0.22,0.14,0.0,0.0,0.0,0.43,0.14,0.0,0.04,0.0,0.05,0.16,0.1,0.0,0.05,0.28,0.43,0.11,0.0,0.0,0.01,0.1
2014-01-02,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-03,1,0.32,0.31,0.13,0.4,0.22,0.23,0.43,0.29,0.34,0.28,0.29,0.16,0.28,0.15,0.31,0.06,0.25,0.15,0.33,0.46,0.06,0.21,0.27,0.16,0.23,0.03,0.25
2014-01-04,1,1.59,1.18,1.19,1.51,1.53,0.84,2.35,1.7,1.83,2.24,0.17,1.45,1.74,1.93,0.85,1.53,1.48,1.64,0.86,0.78,1.82,2.54,1.06,2.21,1.26,0.32,1.49
2014-01-05,1,0.87,0.16,0.39,1.0,0.54,0.17,0.8,0.4,0.75,1.61,0.0,0.37,0.27,1.65,0.13,1.29,0.51,1.19,0.33,0.42,0.72,1.36,0.83,0.78,0.13,0.08,0.67
2014-01-06,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.02,0.0
2014-01-07,1,0.09,0.55,3.1,0.11,2.41,0.84,0.17,5.35,0.02,0.03,8.54,0.04,0.1,0.39,4.33,2.96,0.53,0.0,3.79,2.03,1.17,0.08,2.82,0.04,0.61,0.0,1.6
2014-01-08,1,3.64,0.89,4.3,1.07,0.72,0.1,1.53,3.98,1.15,0.37,0.62,1.64,0.72,0.01,0.42,0.02,4.12,0.67,0.39,4.53,0.19,0.14,1.57,1.89,0.01,0.0,1.39
2014-01-09,1,2.17,0.01,0.24,0.75,0.01,0.04,0.01,0.4,0.74,0.17,0.01,0.04,0.16,0.02,0.01,0.07,0.37,1.95,0.03,0.0,0.0,0.05,0.01,0.98,0.36,0.0,0.34
2014-01-10,1,0.01,0.67,0.0,0.02,0.01,0.4,0.67,0.0,0.0,0.04,0.02,0.0,0.0,0.04,0.02,0.01,0.02,0.69,0.1,0.01,0.14,0.01,0.0,0.08,0.01,0.02,0.12
2014-01-11,1,1.12,0.02,0.0,0.01,0.25,0.36,0.0,0.13,0.12,0.28,2.99,0.0,0.22,1.01,0.36,0.3,0.03,0.49,0.02,0.0,0.45,0.41,1.01,0.0,0.16,0.02,0.39
2014-01-12,1,0.16,0.19,0.19,0.22,0.0,0.01,0.0,0.0,0.02,0.97,0.34,0.01,0.16,0.22,0.02,0.8,0.0,0.37,0.0,0.01,0.0,0.58,0.01,0.0,0.01,0.0,0.17
2014-01-13,1,0.03,0.08,0.06,0.0,0.28,0.0,0.0,0.0,1.79,5.46,0.02,0.17,0.0,0.04,0.77,0.78,0.0,0.5,0.28,0.0,0.05,0.0,0.15,0.62,0.01,0.0,0.44
2014-01-14,1,0.0,0.13,0.06,0.0,0.31,0.03,0.0,0.01,0.07,2.08,0.01,0.13,0.57,0.01,0.0,0.0,0.0,0.01,0.51,0.0,0.0,0.0,2.32,0.3,0.0,0.02,0.26
2014-01-15,1,0.07,0.0,0.0,0.0,0.0,0.05,0.01,0.03,0.0,0.03,0.03,0.12,0.01,0.02,0.02,0.0,0.0,1.2,0.0,0.02,0.0,0.01,0.29,0.09,0.63,0.0,0.11
2014-01-16,1,7.86,0.22,0.0,0.01,0.0,0.18,0.05,0.2,0.87,0.0,0.05,0.07,0.22,0.05,0.13,0.16,2.17,0.52,0.02,0.0,1.61,0.12,0.01,0.18,19.07,0.0,1.35
2014-01-17,1,0.69,0.96,6.59,0.01,0.01,1.22,0.24,0.02,3.52,0.0,0.01,0.03,0.62,0.14,3.99,0.29,12.76,0.05,0.13,0.0,6.32,0.16,0.0,0.22,0.46,0.0,1.54
2014-01-18,1,0.01,0.14,0.14,0.42,0.0,0.36,0.0,0.01,0.17,0.45,0.0,0.01,1.85,0.23,3.26,0.0,8.56,0.01,0.02,14.16,0.0,1.61,0.0,0.12,0.12,0.0,1.27
2014-01-19,1,0.01,0.0,0.01,1.65,20.27,0.01,0.04,0.05,0.01,0.01,0.8,2.14,0.0,0.13,0.0,0.01,0.43,0.04,0.11,5.03,0.0,0.0,0.0,0.01,0.01,0.0,1.23
2014-01-20,1,0.0,0.01,0.03,1.31,6.05,0.02,0.02,0.11,0.08,0.03,0.39,0.09,0.0,0.0,0.0,5.85,0.01,0.04,0.0,0.56,0.0,0.0,0.02,0.01,0.01,2.54,0.59
2014-01-21,1,-0.01,0.03,0.23,0.02,0.87,0.04,0.08,1.51,0.34,0.07,0.0,0.0,0.25,0.18,2.64,1.18,0.03,0.88,0.08,0.0,0.39,8.68,0.14,0.0,9.74,0.62,1.09
2014-01-22,1,0.0,0.0,0.77,0.87,0.02,0.45,0.04,10.01,0.19,0.0,0.0,0.0,0.07,0.07,0.01,0.17,0.01,0.04,0.22,-0.01,0.01,4.67,0.01,0.0,5.12,0.02,0.91
2014-01-23,1,3.21,0.01,0.0,1.24,12.84,0.0,0.0,0.1,0.05,0.49,1.63,0.0,0.0,0.02,0.0,0.01,0.06,2.12,3.6,2.09,0.01,0.0,1.22,0.09,1.04,0.05,1.19
2014-01-24,1,0.15,0.01,0.01,0.0,3.4,0.01,0.21,0.01,0.2,0.1,0.28,0.08,0.01,2.09,0.05,0.0,0.01,0.04,6.08,0.01,0.14,0.03,0.28,0.01,16.67,0.04,1.2
