date,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,obs,mean
2020-02-01,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
2020-02-02,1,0.05,0.07,0.02,0.29,0.0,0.0,0.26,0.31,0.0,0.39,0.0,0.2,0.0,0.0,0.15,0.31,0.0,0.18,0.47,0.11,0.03,0.46,0.18,0.33,0.0,0.0,0.56,0.14,0.1,0.07,0.2,0.0,0.38,0.0,0.75,0.02,0.16,0.0,0.23,0.27,0.02,0.87,0.0,0.0,0.21,0.3,0.0,0.0,0.13,0.12,0.01,0.02,0.16
2020-02-03,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.02,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.05,0.0,0.0
2020-02-04,1,0.01,0.04,0.22,0.06,0.02,0.13,0.03,0.02,0.23,0.03,0.01,0.22,0.03,0.11,0.09,0.09,0.01,0.02,0.12,0.21,0.24,0.07,0.0,0.0,0.1,0.09,0.18,0.16,0.0,0.06,0.06,0.14,0.03,0.1,0.08,0.01,0.07,0.18,0.04,0.16,0.02,0.03,0.22,0.14,0.01,0.0,0.04,0.09,0.05,0.03,0.01,0.22,0.08
2020-02-05,1,0.07,0.05,0.16,0.32,0.17,0.64,0.13,0.18,0.1,0.0,0.35,0.09,0.46,0.4,0.05,0.14,0.63,0.15,0.09,0.29,0.04,0.09,0.01,0.0,0.84,0.29,0.01,0.01,0.05,0.04,0.45,0.71,0.0,0.37,0.01,0.33,0.02,0.31,0.07,0.1,0.22,0.37,0.05,0.67,0.01,0.16,0.33,0.16,0.03,0.16,0.44,0.02,0.21
2020-02-06,1,0.05,0.02,0.02,0.0,0.09,0.31,0.05,0.14,0.05,0.01,0.05,0.04,0.26,0.16,0.1,0.75,0.44,0.0,0.0,0.44,0.01,0.01,0.01,0.18,0.1,0.01,0.05,0.01,0.31,0.03,0.04,0.1,0.02,0.22,0.02,0.11,0.02,0.02,0.16,0.01,0.37,0.05,0.05,0.02,0.03,0.12,0.27,0.0,0.01,0.12,0.01,0.0,0.11
2020-02-07,1,0.08,0.44,0.07,0.01,0.17,0.04,0.29,0.24,0.23,0.24,0.27,0.32,0.05,0.03,0.07,0.0,0.07,0.09,0.56,0.04,0.3,0.11,0.07,0.34,0.0,0.35,0.01,0.67,0.0,0.0,0.63,0.05,0.55,0.71,0.46,0.14,0.08,0.07,0.0,0.07,0.19,0.09,0.02,0.13,0.1,0.52,0.14,0.03,0.07,0.0,0.12,0.0,0.18
2020-02-08,1,0.0,0.03,0.37,0.01,0.05,0.14,0.08,0.04,0.63,0.04,0.02,1.03,0.01,0.04,0.0,0.0,0.16,0.14,0.02,0.4,0.21,0.53,0.54,0.49,0.0,0.0,0.01,0.2,0.01,0.0,1.78,0.72,0.55,2.22,0.07,0.32,0.15,2.88,0.15,0.2,1.07,0.0,0.0,0.15,0.16,0.14,0.01,0.0,0.01,0.04,0.04,0.0,0.31
2020-02-09,1,0.01,0.48,0.57,3.84,0.08,1.53,0.02,0.0,0.08,0.21,0.22,0.13,0.54,0.03,0.04,0.48,0.03,0.0,0.03,0.0,0.05,0.14,4.17,4.09,0.0,0.07,0.38,0.15,0.09,0.01,0.0,0.05,0.86,0.31,0.21,0.21,0.04,0.42,0.03,0.33,0.1,0.03,0.82,0.01,0.15,0.0,0.3,0.01,0.56,0.1,0.01,0.0,0.43
2020-02-10,1,0.1,0.0,0.39,1.09,0.0,0.0,0.01,0.27,2.9,0.15,0.1,0.02,0.0,0.03,0.02,0.23,0.01,0.03,0.01,0.04,0.09,0.0,0.0,0.76,0.01,0.01,0.01,0.01,0.01,0.01,0.22,-0.01,0.0,0.0,0.37,0.14,0.07,0.0,0.01,0.0,0.06,0.0,0.07,0.01,0.0,0.39,0.12,0.3,0.0,0.0,0.01,0.01,0.16
2020-02-11,1,0.22,0.0,0.03,0.29,7.44,5.11,10.28,4.3,2.69,0.01,0.0,0.06,0.0,0.09,4.72,0.58,2.69,0.04,0.04,0.36,0.0,7.66,0.32,0.0,0.03,0.07,0.59,2.68,0.12,1.52,0.18,0.15,0.03,0.0,0.11,0.04,6.42,3.78,0.91,0.0,1.45,0.95,0.0,0.01,0.01,2.03,0.0,6.08,0.01,0.13,0.07,0.01,1.46
2020-02-12,1,0.05,19.26,0.07,0.03,2.91,7.83,1.38,0.02,0.31,5.06,0.66,0.16,6.96,5.47,0.85,3.96,0.6,28.96,0.16,14.26,20.69,4.55,15.72,0.07,11.21,11.95,0.74,0.54,0.22,0.16,13.11,0.78,0.14,0.01,0.02,0.14,0.17,0.59,0.26,3.02,14.34,0.27,6.33,9.05,20.22,2.6,1.14,7.3,0.01,0.74,0.38,12.63,4.81
2020-02-13,1,0.29,15.88,0.14,5.1,0.05,0.54,0.1,0.07,0.99,3.62,0.12,0.07,2.69,6.73,0.0,6.2,0.05,1.94,1.3,1.15,9.38,0.01,1.27,12.34,1.96,19.24,4.15,0.16,0.79,0.46,0.66,0.17,21.3,0.01,0.19,0.15,0.39,0.08,0.13,2.4,11.6,0.35,1.86,50.75,3.36,0.26,16.49,1.11,0.05,0.0,0.08,0.3,4.08
2020-02-14,1,0.05,11.03,0.34,0.2,1.18,1.7,0.0,0.02,4.47,0.42,0.5,0.02,0.43,1.75,0.01,1.0,3.01,0.01,2.98,0.03,0.4,0.46,0.0,18.94,0.04,2.07,6.34,0.18,0.23,0.97,0.01,0.34,4.06,0.1,0.0,0.0,0.02,0.06,0.18,0.27,0.51,0.16,2.68,11.96,0.32,0.41,2.28,0.78,0.01,0.01,0.16,0.0,1.63
