date,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,obs,mean
2019-08-01,1,0.85,0.24,2.76,2.34,0.71,1.39,0.25,0.28,0.53,1.27,0.26,0.51,2.45,0.45,0.12,1.34,0.28,0.49,0.47,0.8,2.0,0.65,0.97,0.14,2.2,1.34,0.16,1.1,4.17,0.43,0.1,0.73,0.25,0.04,0.68,1.39,0.22,0.22,0.28,0.59,0.67,0.65,0.92,0.22,1.26,0.13,4.05,0.06,0.29,2.09,0.54,2.21,0.91
2019-08-02,1,0.06,0.38,0.01,0.06,0.41,0.08,0.19,0.05,0.02,4.57,0.01,0.54,0.04,0.12,0.07,1.75,0.53,0.83,0.66,0.04,0.16,0.59,0.1,1.88,0.0,0.11,1.47,0.78,0.99,0.41,0.0,0.35,0.06,0.54,1.1,0.08,0.07,0.02,0.01,0.0,0.17,0.05,0.11,0.0,0.06,0.05,0.07,0.59,0.93,0.01,2.55,0.3,0.47
2019-08-03,1,0.8,6.7,3.59,1.09,1.06,2.06,0.8,1.49,0.24,1.51,1.59,1.83,1.71,0.99,1.58,1.91,1.76,2.81,7.14,0.99,0.54,3.86,4.91,3.92,1.16,1.52,1.33,1.35,3.92,0.22,0.47,1.05,0.1,6.17,3.47,0.04,0.81,0.25,1.57,0.92,0.13,1.79,0.75,0.91,1.53,1.12,2.64,2.99,2.13,1.35,4.19,2.63,1.94
2019-08-04,1,0.54,1.98,1.33,0.5,0.32,2.38,0.43,0.32,0.0,0.45,2.37,0.61,0.49,2.8,1.38,0.9,0.18,0.07,3.49,1.21,0.01,0.55,0.66,3.71,1.38,0.62,0.18,0.86,1.3,0.28,0.23,0.2,0.29,0.83,0.5,0.38,1.06,0.04,2.0,1.42,0.06,0.94,0.13,0.2,0.3,0.24,1.75,0.5,1.18,4.82,1.78,0.32,0.98
2019-08-05,1,1.58,0.05,0.05,1.06,0.45,0.38,0.38,0.0,0.0,0.25,0.05,0.11,0.48,0.55,0.17,0.23,0.04,0.02,3.56,0.26,0.04,0.56,0.83,5.68,0.1,1.9,0.25,0.22,1.14,0.0,0.02,0.98,0.3,0.41,0.12,0.36,0.13,0.01,0.53,2.75,0.01,0.67,0.07,0.37,0.28,0.02,0.43,1.65,1.04,2.06,1.36,1.32,0.67
2019-08-06,1,1.76,0.75,0.01,0.01,0.08,0.05,1.1,0.2,0.0,1.27,0.12,0.0,0.69,1.0,0.0,0.01,0.39,0.19,0.02,0.18,0.37,1.89,0.01,0.02,1.76,0.06,0.01,0.05,0.05,0.12,0.02,0.02,0.0,0.1,2.34,0.06,0.0,0.01,1.08,0.07,0.41,0.93,0.44,0.17,0.04,0.12,0.05,0.0,0.01,0.37,0.45,4.88,0.37
2019-08-07,1,0.41,3.34,0.13,5.87,4.57,2.16,0.24,2.59,0.02,1.4,0.07,0.01,5.67,0.22,0.04,0.51,3.56,0.01,0.44,1.88,0.48,0.05,4.76,0.22,2.16,0.06,2.55,1.32,0.51,0.71,0.06,0.53,1.63,0.06,6.82,0.41,2.32,0.01,58.45,2.07,0.07,4.29,1.32,0.73,0.13,6.18,1.79,0.0,6.6,8.02,0.12,57.75,2.89
2019-08-08,1,0.07,4.62,0.08,6.95,41.89,6.96,0.14,3.1,0.29,9.34,0.42,0.13,0.12,6.6,0.04,4.5,2.07,2.82,2.36,1.15,1.55,15.76,4.08,3.18,20.7,3.86,12.01,0.69,0.83,13.8,0.02,3.2,4.91,4.53,6.39,1.05,0.25,0.28,50.17,9.82,0.84,14.23,4.65,10.83,1.34,31.04,43.6,0.14,12.52,1.93,13.99,4.35,7.57
2019-08-09,1,2.37,0.04,0.07,3.55,45.71,3.22,2.19,0.8,6.86,1.57,8.0,0.44,1.66,4.08,5.56,9.54,0.24,1.06,0.14,0.86,11.3,99.01,0.73,5.78,2.94,3.0,71.86,3.62,16.31,21.79,0.12,0.28,2.24,7.88,61.38,0.41,8.87,1.32,4.89,35.56,0.96,40.05,0.28,16.79,5.42,5.8,77.96,3.26,3.96,6.06,6.66,0.39,12.24
2019-08-10,1,0.17,0.79,0.22,1.04,7.46,1.0,0.68,3.46,6.65,0.01,12.79,1.66,13.34,0.96,7.0,2.58,4.46,0.37,0.32,2.58,1.42,1.11,0.17,0.6,3.17,3.41,21.51,54.12,2.45,3.68,0.04,0.08,0.31,5.99,16.51,0.69,55.73,3.59,7.88,29.68,0.0,19.34,3.26,2.44,6.13,9.51,72.61,0.5,1.04,6.01,10.79,0.0,8.06
