date,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,obs,mean
2016-09-27,1,0.0,0.03,0.96,0.12,0.07,0.0,2.33,0.14,1.16,0.89,0.0,0.0,0.0,0.87,0.04,0.09,0.08,0.12,12.16,0.65,4.63,0.05,0.01,0.14,1.84,2.36,1.06
2016-09-28,1,0.0,5.45,0.06,0.0,0.43,0.15,0.0,0.02,0.26,0.51,0.0,0.3,0.57,0.0,0.0,0.7,9.73,0.06,1.23,0.11,1.55,1.03,0.03,0.0,0.36,1.14,0.9
2016-09-29,1,0.13,0.37,0.51,0.03,0.02,3.55,0.1,0.16,0.0,0.0,0.0,0.0,0.0,2.11,0.0,0.12,0.0,0.01,0.89,0.0,0.0,46.48,0.1,0.06,0.68,0.12,2.21
2016-09-30,1,0.09,0.03,0.93,0.01,2.2,17.52,0.22,0.01,0.06,0.0,0.01,0.05,0.25,2.79,0.0,0.67,0.06,0.0,1.06,0.41,0.15,0.39,0.0,0.01,0.28,0.11,1.09
2016-10-01,2,0.14,0.1,1.96,0.0,1.92,43.98,0.09,0.78,0.24,0.16,0.02,1.32,0.05,1.33,0.14,0.09,1.21,1.28,1.17,0.26,1.28,0.51,0.01,2.7,0.14,0.01,2.44
2016-10-02,2,0.0,0.0,3.93,0.12,0.39,5.42,2.01,0.15,1.64,0.61,0.06,1.06,0.01,0.49,0.06,0.2,1.61,12.27,0.12,0.02,0.5,0.01,0.01,11.14,0.01,0.3,1.67
2016-10-03,2,0.67,0.06,0.39,1.04,0.08,0.27,0.56,0.01,0.25,0.28,3.45,0.12,0.01,0.0,0.02,0.2,0.1,1.14,0.07,0.1,0.3,0.2,0.11,19.52,0.02,16.57,1.16
2016-10-04,2,1.07,0.25,0.0,0.4,1.34,0.0,0.0,0.0,3.37,0.0,0.2,0.3,0.09,0.0,0.0,0.42,0.0,0.84,0.0,0.0,0.5,0.39,0.03,3.25,8.0,0.15,0.82
2016-10-05,2,1.17,0.0,0.02,0.0,0.12,0.0,0.0,0.0,0.14,0.0,0.01,0.0,0.02,0.19,0.02,3.64,0.01,0.02,0.0,0.27,0.0,0.0,0.0,0.0,5.57,19.37,0.45
2016-10-06,2,1.62,0.0,2.81,0.85,0.02,0.03,0.01,1.74,0.13,0.0,0.17,0.0,0.04,0.06,1.7,43.83,0.2,0.39,0.0,0.12,0.01,0.2,0.0,0.0,0.8,0.07,2.19
2016-10-07,2,0.01,0.03,5.8,2.55,0.0,0.0,0.09,4.08,0.09,0.02,1.9,0.01,0.0,0.23,0.34,1.62,2.36,0.15,0.02,0.07,0.26,0.06,0.0,0.01,4.0,8.08,0.95
2016-10-08,2,0.0,0.69,1.83,0.02,0.24,0.0,0.0,0.98,0.01,1.66,10.15,0.09,0.02,0.01,0.02,0.49,0.0,0.27,0.0,0.45,2.86,0.14,0.85,0.14,3.46,10.8,0.98
2016-10-09,2,0.0,0.89,1.18,0.0,1.54,1.55,0.47,0.01,0.02,0.02,0.73,0.14,0.03,0.04,0.0,0.0,0.02,0.23,0.0,0.12,15.82,0.01,0.07,0.03,1.47,0.01,0.98
