date,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,obs,mean
2017-06-14,1,13.16,0.05,17.63,0.67,0.04,0.0,1.48,1.37,1.73,0.0,0.18,0.01,0.41,0.24,0.19,0.0,0.04,1.72,31.97,0.12,0.0,0.0,16.52,0.0,0.81,4.42,0.47,44.04,0.49,5.23,0.0,0.0,0.0,0.04,0.05,0.1,32.93,0.66,0.01,0.32,0.02,0.23,0.12,0.24,34.57,8.87,0.0,0.14,0.22,13.21,0.25,0.08,4.61
2017-06-15,1,1.77,0.01,0.07,12.11,2.6,0.11,0.0,2.11,2.16,0.0,0.0,0.0,0.96,4.6,0.78,37.73,1.55,0.04,13.65,0.01,0.03,0.07,5.1,0.0,3.19,0.68,0.15,0.0,0.24,2.88,2.89,0.0,0.47,0.98,0.15,0.0,1.38,0.81,0.08,29.08,0.0,4.57,0.72,7.23,0.0,0.08,3.27,0.0,2.21,0.01,2.41,0.0,2.92
2017-06-16,1,0.06,0.2,0.01,0.0,0.1,0.25,0.0,7.89,0.45,0.0,0.0,0.02,0.17,0.96,0.75,0.0,0.31,0.0,0.06,0.0,11.29,7.77,0.43,0.0,7.81,0.01,5.86,0.0,0.56,0.4,0.07,0.01,4.71,0.61,5.8,0.0,1.32,0.04,1.18,3.76,0.01,18.45,18.16,8.4,0.0,0.62,0.7,0.74,2.37,1.44,0.02,0.0,2.23
2017-06-17,1,1.61,0.04,0.31,0.22,1.46,0.0,0.0,2.84,0.33,0.1,0.01,2.97,0.83,0.22,1.23,0.01,14.59,0.12,0.86,0.0,2.21,3.31,3.77,0.0,4.88,0.23,5.72,0.85,5.28,0.01,0.05,4.16,5.53,0.41,10.64,0.0,0.61,0.0,0.93,0.14,0.03,0.01,1.08,0.07,0.28,0.0,2.67,0.12,0.44,0.61,0.32,0.0,1.61
2017-06-18,1,0.31,0.0,0.57,1.24,0.37,0.01,6.37,0.1,0.31,0.13,2.39,1.01,0.09,0.02,0.1,0.01,0.33,0.1,0.46,16.89,0.0,1.38,2.77,0.01,0.06,0.18,1.56,3.55,3.42,0.1,0.59,21.0,3.6,1.32,1.55,0.13,0.06,0.01,0.32,0.12,0.02,0.35,0.56,0.93,29.25,0.0,0.04,0.0,0.32,1.82,0.26,0.45,2.08
2017-06-19,1,0.01,0.01,0.98,7.16,0.0,0.01,9.18,0.06,2.18,0.01,4.53,1.64,0.01,0.0,0.01,0.01,0.16,0.04,0.23,0.09,0.01,4.28,0.58,0.08,0.0,9.96,31.9,0.82,0.43,0.64,33.5,0.26,4.39,6.04,0.0,23.22,0.19,0.02,0.04,0.0,0.2,0.0,0.67,0.07,0.09,6.65,0.12,0.0,0.42,2.09,1.29,0.12,3.03
2017-06-20,1,0.03,9.83,0.31,1.37,0.03,0.0,0.34,0.0,46.66,0.0,5.67,0.28,0.01,1.72,0.0,2.55,0.18,0.21,0.09,0.12,0.03,2.15,1.69,5.52,0.62,1.06,0.25,0.07,0.04,0.09,1.5,0.01,0.83,0.04,0.0,9.2,0.09,19.19,0.02,0.41,0.53,1.02,2.44,0.07,0.15,26.93,0.28,0.04,0.04,0.79,3.34,0.01,2.9
2017-06-21,1,0.42,0.33,6.99,0.37,0.16,0.01,0.01,0.82,2.06,0.0,11.31,0.14,0.04,0.72,0.33,0.04,0.01,0.27,5.16,0.48,0.01,0.18,0.92,43.48,0.4,2.13,0.25,0.02,0.01,0.0,3.63,0.01,0.45,0.0,1.05,5.97,0.0,7.53,3.3,33.7,4.11,4.66,0.06,0.09,8.52,21.0,0.49,0.27,0.0,0.11,0.41,0.16,3.38
2017-06-22,1,0.04,0.17,2.07,0.05,0.58,0.01,0.1,0.49,0.01,0.01,2.26,0.07,0.02,0.01,0.2,0.0,0.79,0.24,0.01,0.33,0.0,0.0,0.54,0.99,1.69,1.31,0.49,0.43,0.04,0.67,4.71,0.0,0.33,0.01,57.87,14.38,0.5,1.01,28.23,3.54,4.27,9.3,0.08,0.17,2.2,21.2,5.34,0.0,0.0,0.03,0.09,0.01,3.27
2017-06-23,1,0.0,13.37,0.83,24.55,58.65,0.0,0.04,37.32,0.04,0.0,7.86,9.1,0.41,0.0,1.26,0.04,1.85,4.77,0.01,0.06,0.03,0.0,1.23,6.31,0.37,7.5,0.28,18.98,0.1,1.7,17.52,24.3,5.84,0.01,2.63,0.0,0.42,0.63,24.94,0.17,0.16,3.6,0.01,0.19,0.27,34.55,0.01,0.04,0.04,0.01,34.18,0.01,6.79
