date,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,obs,mean
2018-08-01,1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-02,1,0.01,0.04,0.01,0.02,0.04,0.01,0.04,0.29,0.0,0.02,0.06,0.04,0.02,0.06,0.05,0.01,0.07,0.01,0.06,0.04,0.01,0.04,0.02,0.07,0.0,0.01,0.01,0.04,0.06,0.14,0.0,0.01,0.02,0.02,0.01,0.0,0.08,0.01,0.02,0.06,0.01,0.02,0.01,0.04,0.0,0.08,0.02,0.01,0.06,0.0,0.05,0.0,0.04
2018-08-03,1,0.1,0.05,0.11,0.07,0.02,0.04,0.01,0.05,0.1,0.51,0.22,0.07,0.04,0.06,0.11,0.05,0.08,0.06,0.24,0.12,0.1,0.07,0.0,0.08,0.14,0.05,0.04,0.06,0.05,0.04,0.01,0.08,0.01,0.08,0.1,0.19,0.06,0.04,0.02,0.13,0.14,0.31,0.04,0.18,0.02,0.07,0.13,0.02,0.12,0.01,0.22,0.0,0.09
2018-08-04,1,0.3,0.68,0.36,1.76,0.96,0.17,0.06,0.51,0.57,0.3,0.55,0.38,0.37,0.12,0.36,0.41,0.38,0.43,0.41,0.13,0.26,0.11,0.32,0.33,0.25,0.01,0.3,0.6,0.3,0.38,0.51,0.83,0.35,0.48,0.3,0.55,0.48,0.5,0.24,0.88,0.29,3.37,0.06,0.19,0.42,0.31,1.71,0.53,0.45,0.3,0.3,0.0,0.49
2018-08-05,1,0.18,1.95,1.09,1.02,0.49,0.44,0.25,0.32,0.85,0.43,0.18,1.12,0.62,0.13,2.71,0.23,1.29,0.57,0.41,0.49,0.33,0.5,0.24,1.15,0.44,0.25,2.1,0.75,0.62,2.65,0.71,1.39,0.6,0.96,0.84,3.16,0.85,0.8,0.39,0.69,0.85,0.33,3.01,0.22,0.79,0.83,1.78,0.48,0.54,0.31,0.13,0.0,0.85
2018-08-06,1,0.71,4.79,2.88,0.16,2.68,2.59,0.16,0.26,2.4,2.27,1.55,2.06,3.1,0.0,2.46,3.83,0.84,0.93,0.31,0.62,0.1,0.28,1.09,2.5,0.81,0.11,6.19,1.61,1.45,0.79,0.75,0.72,1.88,2.1,1.17,2.06,1.36,2.07,10.12,1.93,0.55,4.03,4.87,0.18,1.65,0.69,2.44,1.2,0.13,3.62,1.15,6.9,1.85
2018-08-07,1,0.02,0.79,3.07,0.43,1.66,0.28,0.6,0.91,0.36,7.99,2.38,1.05,0.44,0.31,1.43,4.74,0.24,0.44,0.01,0.18,0.59,0.05,2.13,3.05,0.63,3.93,0.16,0.02,0.71,0.26,0.42,0.2,0.2,0.07,0.22,0.68,11.16,0.45,4.14,0.26,0.12,1.2,2.33,0.3,0.36,0.01,1.75,1.08,0.85,0.45,0.04,0.18,1.28
2018-08-08,1,0.07,2.16,14.74,3.92,0.22,5.97,0.14,0.19,4.72,2.67,1.09,0.59,0.05,0.22,0.13,1.79,0.01,0.04,0.08,0.01,8.97,0.0,1.21,1.6,9.31,20.88,0.0,1.36,1.93,0.93,1.78,2.02,0.51,0.1,1.45,0.22,24.82,0.59,5.32,1.1,0.61,0.06,0.12,10.87,4.19,0.07,2.99,0.16,10.0,-0.01,0.02,4.4,2.98
2018-08-09,1,2.22,4.29,7.4,1.54,1.79,0.98,1.64,0.43,2.75,29.7,0.11,0.71,0.07,2.01,1.88,6.41,0.05,0.23,0.65,0.54,15.89,0.55,13.81,3.59,29.48,0.73,0.01,1.14,15.68,2.55,0.31,5.29,3.2,1.38,4.6,6.7,7.78,5.43,2.64,7.23,1.95,0.77,2.57,8.56,0.17,0.9,3.47,6.66,1.84,0.0,6.07,13.3,4.44
2018-08-10,1,4.32,6.45,3.31,0.24,1.1,0.18,3.01,2.14,0.74,6.11,0.02,1.65,0.31,1.4,0.47,1.06,1.22,2.89,4.14,0.14,25.61,0.53,0.26,9.15,17.0,0.04,0.05,0.12,2.75,6.53,2.26,0.71,1.98,2.64,3.71,23.4,4.45,4.45,0.78,1.87,2.87,1.53,0.26,2.67,0.04,6.37,0.39,80.33,4.53,0.83,2.64,10.11,4.93
2018-08-11,1,0.96,1.22,1.77,0.66,1.09,2.85,3.25,0.07,1.46,2.08,1.76,0.79,0.14,0.04,2.62,0.73,0.74,1.38,1.09,0.05,4.16,4.3,0.37,1.11,15.82,0.01,0.2,0.51,1.29,0.17,0.53,0.17,0.77,0.83,7.03,123.44,27.86,1.91,1.26,4.77,1.27,14.74,0.07,0.16,0.18,0.17,0.12,1.69,7.4,1.49,59.74,0.53,6.04
2018-08-12,1,0.0,0.68,6.73,1.1,1.09,32.74,0.25,0.42,0.17,1.3,1.96,1.45,8.59,2.0,24.81,0.35,0.19,1.72,6.15,1.77,0.53,9.17,0.0,0.17,19.98,2.13,0.78,0.0,5.5,1.24,0.3,0.13,2.0,0.91,20.93,18.63,4.1,15.8,1.23,1.27,5.17,1.83,0.02,0.77,0.16,0.92,29.32,3.2,0.12,5.2,126.8,0.01,7.29
2018-08-13,1,2.18,0.04,5.26,9.86,1.21,27.65,0.28,0.11,0.19,10.28,2.68,2.42,23.07,18.9,5.79,0.35,0.1,14.89,23.86,1.21,1.94,7.99,0.33,2.06,6.39,18.31,1.57,0.17,10.71,2.51,2.65,0.0,4.75,1.42,5.64,0.48,21.34,8.65,0.11,2.61,2.57,2.97,0.22,0.02,0.0,19.92,8.12,21.46,2.3,0.67,5.08,0.58,6.14
2018-08-14,1,0.53,0.01,0.12,0.94,0.48,5.8,1.3,0.93,0.25,2.49,1.35,8.88,19.1,5.17,8.68,2.69,0.23,14.55,3.35,12.48,0.97,3.56,11.73,9.02,11.37,2.63,27.01,0.12,59.97,13.54,18.63,0.0,34.34,3.81,14.7,21.27,21.16,30.2,0.0,2.38,4.65,5.81,2.12,2.26,1.26,25.1,5.79,48.64,12.88,3.35,0.63,5.02,9.57
2018-08-15,1,1.9,0.07,0.01,8.97,0.26,4.17,0.67,2.24,3.8,21.46,2.12,11.69,0.83,13.61,1.11,0.16,0.08,1.85,1.55,5.68,3.59,16.84,9.04,27.55,0.68,0.72,3.8,0.11,18.32,0.04,15.56,0.04,21.69,13.5,10.36,2.91,10.1,127.49,-0.01,0.05,24.05,13.48,21.58,6.94,15.54,12.77,1.88,0.73,2.52,1.69,14.66,0.1,9.42
2018-08-16,1,0.01,0.35,0.01,10.68,10.79,1.26,10.99,11.61,1.94,33.73,2.19,23.09,0.0,1.23,1.12,0.28,0.01,31.45,30.87,1.28,8.45,16.39,2.62,8.9,0.24,2.75,0.36,1.43,0.0,2.46,1.41,10.5,2.67,1.91,0.02,0.19,1.38,88.72,2.7,3.11,12.34,3.66,1.34,2.73,0.81,7.0,0.02,0.44,16.51,6.21,1.49,6.13,7.48
2018-08-17,1,0.0,0.0,0.0,0.97,6.41,12.82,0.26,40.39,2.08,2.12,5.46,4.03,0.17,1.11,0.66,0.25,0.07,8.2,8.67,0.3,5.55,6.28,0.57,8.98,0.08,27.51,0.1,0.51,0.01,0.12,1.08,10.53,0.07,9.43,0.01,4.79,5.51,29.55,10.93,0.86,13.82,0.0,0.71,7.4,0.0,1.57,0.02,5.3,2.85,17.42,0.23,0.01,5.21
2018-08-18,1,0.06,0.18,2.36,0.19,36.3,0.31,0.01,2.88,0.18,2.99,4.53,10.26,0.28,0.08,0.36,0.48,0.48,0.0,1.36,4.59,2.32,2.91,0.29,0.51,0.56,11.97,0.78,0.06,0.01,7.05,0.85,0.04,0.0,8.76,0.01,15.37,1.54,18.88,14.0,0.83,27.18,0.33,0.01,4.58,0.0,0.54,0.0,3.14,0.02,17.29,2.73,0.0,4.13
