date,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,obs,mean
2011-03-01,1,1.06,1.18,0.9,0.71,1.23,0.72,0.97,1.02,0.62,1.6,0.67,1.39,1.01,0.89,1.31,0.78,0.76,0.87,0.75,0.65,0.79,1.01,0.79,0.82,0.63,3.82,0.93
2011-03-02,1,0.09,0.01,0.04,0.01,0.45,0.04,0.02,0.02,0.06,0.05,0.03,0.13,0.03,0.2,0.04,0.01,0.0,0.05,0.0,0.03,0.01,0.01,0.09,0.03,0.01,0.07,0.06
2011-03-03,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.05,0.0
2011-03-04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0
2011-03-05,1,0.0,0.01,0.08,0.0,0.0,0.52,0.0,0.0,0.04,0.02,0.01,0.0,0.01,0.0,0.03,0.08,0.0,0.03,0.62,0.01,0.09,0.0,0.0,0.12,0.0,0.05,0.07
2011-03-06,1,0.0,0.03,0.06,0.04,0.0,0.03,0.0,0.0,0.0,0.0,0.1,0.29,0.42,0.1,0.0,0.08,0.02,0.01,0.0,0.0,6.54,5.86,0.56,0.03,0.4,0.1,0.58
2011-03-07,1,0.33,1.16,1.13,1.08,0.0,0.0,0.33,0.0,0.45,0.38,0.48,0.06,0.54,1.24,0.01,0.75,0.23,0.19,0.16,0.52,1.96,0.21,1.32,0.29,1.5,0.06,0.57
2011-03-08,1,0.14,2.57,0.03,0.01,0.07,0.01,0.0,0.0,0.19,0.49,0.0,0.07,0.01,0.0,0.0,0.01,0.12,0.01,0.01,0.29,0.14,0.0,0.06,0.32,0.03,0.0,0.18
2011-03-09,1,0.04,0.19,2.77,0.01,0.47,5.33,3.75,0.01,0.02,0.01,0.0,2.2,0.0,3.26,0.0,0.01,0.29,1.09,0.0,0.05,0.92,0.01,0.06,0.0,0.84,0.02,0.85
2011-03-10,1,0.0,0.17,0.66,0.29,0.08,2.34,0.29,0.5,0.0,0.02,0.0,0.48,0.0,0.0,0.0,0.03,0.0,4.27,0.73,0.21,1.4,0.0,3.56,0.27,0.26,0.0,0.62
2011-03-11,1,0.08,-0.01,0.0,0.47,0.03,1.1,0.0,0.0,0.1,3.13,0.73,0.12,0.03,2.74,0.02,0.04,3.31,0.09,0.02,0.0,0.62,0.0,0.04,2.99,0.01,0.0,0.63
2011-03-12,1,0.01,0.21,0.02,12.43,0.01,0.22,0.29,0.0,1.71,9.82,0.0,0.01,0.94,0.06,0.0,0.0,1.26,0.03,0.0,0.01,2.3,0.01,0.69,0.01,5.77,0.0,1.43
2011-03-13,1,7.91,0.16,1.18,4.67,0.18,0.25,0.03,3.61,0.0,0.0,0.51,4.18,2.35,0.16,7.82,0.01,0.0,1.44,0.09,0.14,11.84,1.84,0.0,0.01,13.33,0.0,2.47
2011-03-14,1,0.0,0.25,1.45,0.0,0.05,0.03,0.0,0.04,0.0,0.0,0.0,0.25,0.06,1.64,0.0,0.02,0.01,6.4,0.07,12.28,3.62,0.01,0.66,0.04,0.04,0.0,1.08
2011-03-15,1,0.56,0.92,1.25,2.81,0.19,0.18,2.22,0.01,0.03,0.8,0.0,0.03,0.0,0.96,0.29,3.83,0.0,0.29,5.28,0.34,1.28,0.0,0.0,0.19,0.0,0.05,0.86
2011-03-16,1,0.03,0.21,0.23,0.06,0.25,1.23,2.63,2.45,0.02,3.99,0.01,0.1,0.59,1.63,5.91,11.15,0.0,0.23,0.11,0.16,0.49,13.04,0.0,0.12,3.61,0.01,1.93
2011-03-17,1,0.01,0.16,0.0,0.1,0.86,0.05,0.0,0.95,0.0,17.99,0.01,0.34,0.57,0.54,0.4,26.07,0.0,0.0,0.16,1.65,0.92,1.32,0.29,0.57,0.98,0.0,2.16
2011-03-18,1,2.52,0.03,0.0,0.24,0.03,2.48,1.07,0.16,4.87,0.1,0.0,0.07,0.02,0.36,0.03,2.4,1.98,0.08,0.01,12.24,0.28,2.71,0.15,0.0,0.03,0.0,1.27
2011-03-19,1,0.23,0.08,0.0,0.02,0.0,1.31,14.4,0.08,0.29,0.0,0.0,0.0,0.21,4.3,0.03,15.81,1.3,0.11,2.19,13.71,1.59,0.53,0.1,1.22,7.47,0.0,2.6
2011-03-20,1,0.58,2.61,4.87,0.0,5.72,0.0,0.01,0.0,0.08,0.0,0.0,1.32,1.43,0.4,0.28,0.36,0.07,0.0,1.92,19.82,6.61,1.04,8.6,0.0,0.21,16.94,2.24
2011-03-21,1,0.17,0.0,11.77,0.0,4.32,0.0,0.34,0.24,0.94,0.0,0.0,0.03,0.03,0.23,0.0,1.23,0.01,0.02,0.69,0.0,0.0,0.09,0.0,0.0,25.96,0.62,1.84
2011-03-22,1,24.59,0.14,14.77,0.01,6.65,0.0,0.0,0.12,1.3,0.0,0.08,0.0,0.1,0.01,0.0,22.76,0.0,0.0,1.35,0.0,0.04,0.01,3.19,0.0,0.01,0.17,3.01
2011-03-23,1,18.72,15.14,0.0,4.4,0.4,0.0,0.04,2.47,0.14,0.0,0.0,0.22,19.89,1.08,0.0,5.03,0.0,0.0,5.14,0.78,0.05,0.0,0.18,0.21,13.96,0.0,3.51
2011-03-24,1,0.26,1.5,13.89,0.2,0.0,0.12,0.93,0.21,0.0,0.0,5.34,2.28,1.11,13.05,1.1,0.36,11.2,0.0,5.16,0.46,0.45,0.0,0.0,0.01,1.66,3.18,2.37
2011-03-25,1,0.05,0.7,0.3,0.03,0.0,0.08,0.0,0.0,0.0,0.0,11.06,2.06,0.05,2.2,20.5,0.38,3.93,0.0,0.37,0.14,3.59,1.91,0.04,0.0,0.03,5.59,1.9
2011-03-26,1,2.06,1.76,0.01,3.03,0.0,1.21,0.06,0.0,5.77,0.01,0.79,0.64,5.81,0.34,0.07,5.49,0.26,0.03,0.03,0.07,0.86,0.73,0.43,0.0,0.13,0.51,1.18
2011-03-27,1,7.87,0.0,0.14,1.13,0.53,7.1,1.25,0.08,4.4,0.0,0.05,0.0,2.53,11.91,0.0,2.74,0.0,0.01,0.12,0.0,0.0,0.0,0.07,1.12,0.0,0.03,1.64
2011-03-28,1,0.06,0.0,0.15,0.1,11.0,28.32,0.0,0.07,1.52,0.37,0.1,0.01,0.0,0.53,0.0,0.01,0.0,0.05,0.0,2.37,0.0,15.34,0.02,1.41,1.94,0.5,2.53
2011-03-29,1,1.0,0.12,0.0,0.01,13.59,2.85,0.0,0.41,0.69,1.78,16.57,7.17,0.0,0.27,0.0,0.26,0.13,0.27,0.0,14.77,0.02,3.22,0.01,0.17,40.4,0.07,4.15
2011-03-30,1,0.0,0.0,-0.01,0.01,0.08,0.4,10.68,0.0,3.34,0.93,0.32,25.11,0.0,0.0,0.0,0.56,0.01,0.05,0.01,2.48,0.55,0.0,0.32,0.0,25.87,0.0,2.83
2011-03-31,1,0.0,0.01,0.0,0.0,0.0,2.59,0.6,0.0,0.37,0.0,0.01,0.92,0.03,0.08,0.04,0.0,0.0,0.32,14.83,0.01,0.12,0.0,25.62,0.14,2.07,0.02,1.91
2011-04-01,2,0.0,0.01,0.18,0.0,0.2,2.35,25.83,3.42,0.48,0.34,0.0,0.11,0.03,1.76,0.0,0.0,0.0,0.0,3.45,0.3,0.0,0.0,0.03,4.01,0.08,0.02,1.7
2011-04-02,2,0.03,0.0,0.0,0.0,0.33,0.0,13.52,28.1,0.83,0.24,0.01,0.0,0.4,9.95,0.0,0.01,0.1,0.0,0.0,0.04,0.0,0.35,5.51,1.43,0.01,0.0,2.43
2011-04-03,2,0.19,0.0,0.02,6.67,0.0,0.02,0.21,0.01,8.65,0.95,0.0,0.0,0.02,0.3,0.7,13.63,23.23,0.0,0.0,0.03,0.35,18.35,14.15,0.15,0.03,0.0,3.51
2011-04-04,2,0.0,0.0,0.0,0.13,0.02,0.0,0.0,0.0,0.73,7.56,0.0,0.0,5.24,0.0,20.14,20.26,7.91,0.01,0.0,0.26,0.0,0.12,37.9,4.5,1.63,0.0,4.26
2011-04-05,2,0.13,8.03,0.15,0.02,0.33,4.29,0.0,0.0,0.13,1.0,0.0,1.69,1.81,0.0,2.68,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.43,29.85,0.82,0.0,2.06
2011-04-06,2,0.05,7.29,0.0,1.1,0.0,10.94,0.0,0.0,0.0,5.81,12.2,1.54,0.54,0.0,0.56,0.11,0.34,0.83,0.0,0.0,0.21,0.24,1.58,33.4,0.37,0.0,3.08
2011-04-07,2,0.0,2.47,0.02,4.44,0.45,0.12,0.01,8.55,2.1,2.44,0.63,0.09,0.01,0.0,8.24,0.54,0.0,3.56,0.0,0.22,0.29,0.04,0.32,0.54,0.54,13.77,1.42
2011-04-08,2,18.15,0.02,4.94,0.35,3.51,0.18,9.65,38.64,0.83,0.1,3.01,0.01,3.29,0.01,3.49,0.38,0.0,0.13,0.0,0.01,27.45,9.98,1.64,0.0,3.78,0.72,5.18
2011-04-09,2,2.47,0.0,25.37,0.45,1.67,0.0,11.64,2.85,0.99,0.26,1.1,1.22,0.13,1.09,0.02,0.31,0.02,0.0,1.41,5.79,5.73,9.43,0.02,7.67,0.32,0.0,3.2
2011-04-10,2,0.0,0.0,26.99,1.61,1.11,0.04,0.41,2.2,0.0,2.6,0.33,0.33,10.21,0.0,0.0,0.01,0.0,0.92,13.04,0.52,0.16,0.0,1.06,0.02,0.69,0.99,2.49
2011-04-11,2,2.19,0.0,0.1,0.0,0.02,0.0,0.0,0.0,0.24,10.68,0.0,0.0,0.42,0.1,2.81,0.04,0.18,0.0,3.25,3.63,4.68,0.0,13.09,0.0,0.01,0.16,1.66
2011-04-12,2,1.99,0.07,0.01,0.0,0.0,0.64,0.0,0.31,2.34,0.68,0.0,0.31,0.03,0.0,5.42,7.58,1.81,0.07,24.12,0.07,0.1,0.0,42.49,0.0,0.0,0.02,3.52
2011-04-13,2,0.01,5.8,0.0,1.02,0.0,12.93,0.0,0.29,0.0,2.59,0.01,5.06,0.56,1.92,0.03,0.21,0.76,2.32,0.02,5.48,0.0,8.56,0.03,0.99,0.02,0.0,1.94
2011-04-14,2,0.99,14.22,1.08,6.67,3.38,37.21,0.04,0.23,0.0,3.4,0.31,5.52,1.55,19.1,1.13,0.0,3.48,4.99,0.15,0.14,0.0,0.76,0.0,42.49,0.15,0.0,5.88
2011-04-15,2,5.3,0.0,13.07,0.74,2.33,0.65,0.15,0.07,0.82,0.0,0.0,0.02,0.24,0.44,2.61,0.0,0.3,0.39,0.17,11.96,3.25,0.0,0.0,10.05,3.9,0.02,2.26
2011-04-16,2,0.45,0.03,0.0,0.0,1.14,3.29,0.18,8.16,18.35,0.66,0.01,0.0,2.03,0.03,0.01,0.11,0.0,0.11,0.0,0.17,11.01,0.17,0.02,0.0,15.78,0.07,2.47
