date,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,obs,mean
2012-05-01,1,0.96,0.11,4.0,0.18,1.07,0.24,0.71,0.69,0.48,0.52,0.97,0.27,0.32,0.91,0.31,0.19,0.5,0.14,0.33,1.61,0.07,1.84,0.22,0.16,0.7,0.0,0.7
2012-05-02,1,3.95,0.88,5.39,0.49,2.54,0.66,3.33,3.81,1.53,1.26,2.45,0.69,2.02,1.81,1.86,0.87,3.07,0.21,1.34,5.79,0.65,3.9,4.0,0.78,2.02,0.33,2.21
2012-05-03,1,0.24,0.08,0.02,0.02,0.08,0.01,0.67,0.21,0.0,0.02,0.31,0.0,0.32,0.15,0.11,0.01,0.18,0.27,0.05,0.19,0.08,0.05,0.03,0.03,0.02,5.98,0.13
2012-05-04,1,0.04,0.91,0.0,0.06,0.03,0.05,0.02,0.0,0.05,0.07,0.02,0.0,0.02,0.02,0.51,0.03,0.0,0.09,0.05,0.53,0.0,0.08,0.18,0.02,0.02,0.09,0.11
2012-05-05,1,0.07,0.05,0.0,0.8,0.29,0.18,0.12,0.02,0.0,0.21,0.28,0.06,0.03,0.08,0.0,0.76,0.08,0.02,0.33,0.75,0.46,0.11,0.09,0.0,0.11,0.0,0.2
2012-05-06,1,0.15,0.05,0.15,0.0,0.27,0.47,0.0,0.9,0.01,0.0,0.33,0.05,0.79,0.0,2.72,1.2,6.36,1.77,1.07,0.0,0.11,0.11,0.0,0.07,0.03,0.03,0.66
2012-05-07,1,1.36,0.02,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.02,0.57,0.0,0.33,0.18,0.02,0.03,2.97,0.02,0.0,0.0,0.12,0.02,0.0,0.0,0.26
2012-05-08,1,1.7,0.01,0.87,7.94,0.01,0.0,1.14,0.02,0.54,0.24,2.57,5.33,0.95,0.0,0.0,0.05,0.21,2.37,0.0,0.0,1.69,4.82,0.47,0.0,0.2,0.23,1.25
2012-05-09,1,0.0,0.85,0.14,0.56,2.67,0.63,1.39,0.73,0.88,1.17,0.06,4.48,0.72,0.01,0.01,0.14,0.0,2.86,0.26,0.0,0.18,3.18,4.13,0.08,1.64,0.0,1.07
2012-05-10,1,0.0,5.76,0.29,0.08,0.94,2.84,5.74,0.22,1.04,1.95,0.04,3.51,0.11,0.32,0.02,9.21,8.75,0.02,0.34,0.18,0.03,0.02,11.87,0.0,0.01,0.02,2.13
2012-05-11,1,3.53,0.37,0.75,0.0,0.01,0.56,1.39,0.0,0.0,0.5,0.0,1.59,0.23,0.68,0.01,0.96,0.07,0.02,0.53,0.15,0.0,0.1,0.12,0.0,1.99,0.08,0.54
2012-05-12,1,14.64,0.11,3.16,1.55,1.29,0.0,2.63,0.91,0.03,0.51,0.0,0.0,0.61,0.0,12.96,0.0,0.19,0.38,0.0,13.17,0.02,1.53,2.26,0.0,7.47,0.02,2.54
2012-05-13,1,0.0,0.02,6.19,2.38,4.54,0.86,0.11,2.09,0.04,0.97,0.01,1.51,0.0,1.55,0.94,0.25,3.52,0.0,0.0,8.36,10.84,0.43,0.0,0.33,15.77,0.02,2.43
2012-05-14,1,0.0,6.64,0.0,0.19,5.14,14.18,0.0,0.73,0.44,0.02,0.44,1.08,0.0,0.2,0.01,1.67,2.99,0.0,0.0,0.03,0.05,0.58,0.67,1.36,5.09,19.85,1.66
2012-05-15,1,0.05,0.01,0.0,0.02,4.99,0.0,0.12,3.72,21.9,0.14,1.16,0.0,0.0,-0.02,0.49,0.06,2.91,0.82,0.0,0.24,0.0,0.44,0.49,0.01,0.18,0.53,1.51
2012-05-16,1,0.31,4.41,0.0,0.07,0.81,0.08,13.28,1.02,0.25,0.23,5.81,18.2,0.06,0.44,0.64,0.01,5.05,0.08,15.59,0.43,0.02,0.22,1.16,-0.02,0.0,0.63,2.73
2012-05-17,1,0.81,1.03,0.0,0.0,0.05,0.0,2.61,0.02,2.15,1.98,0.04,0.0,0.01,0.0,0.0,11.07,0.17,0.04,10.03,0.04,0.46,0.37,3.14,0.0,0.0,6.64,1.36
2012-05-18,1,0.02,13.11,0.91,0.01,0.04,3.45,0.75,0.21,0.17,0.63,2.42,0.0,0.01,0.0,0.0,0.21,0.0,0.51,0.06,0.53,0.08,0.0,8.69,0.0,0.0,0.01,1.27
2012-05-19,1,0.01,2.2,0.3,0.0,0.1,0.05,0.08,5.8,1.51,0.07,0.08,0.0,0.0,0.0,0.04,0.02,0.0,0.53,0.0,1.23,0.07,0.44,0.81,0.02,0.05,0.02,0.54
2012-05-20,1,0.01,0.46,1.13,0.28,0.0,0.0,0.0,17.11,0.0,0.04,0.02,2.72,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.69,0.11,0.05,0.05,0.05,0.91
2012-05-21,1,0.23,0.53,0.0,7.79,0.01,0.0,15.61,9.07,0.03,0.0,0.0,0.65,1.29,0.0,0.04,0.0,3.93,0.0,0.0,0.09,0.32,0.0,2.96,0.27,0.03,0.0,1.71
2012-05-22,1,0.59,0.3,0.4,3.09,0.07,0.42,0.02,21.25,0.0,0.0,0.01,1.45,0.97,0.05,0.0,0.02,20.45,0.03,7.53,0.01,0.0,0.0,10.02,0.65,0.14,0.0,2.7
2012-05-23,1,1.9,0.0,2.53,0.02,0.06,0.61,0.0,0.22,0.09,0.01,0.0,0.0,1.83,0.01,0.0,0.01,0.0,0.69,5.84,0.0,0.02,1.1,5.88,0.0,0.24,0.02,0.84
2012-05-24,1,4.59,0.01,0.41,0.0,0.15,14.55,0.01,0.3,3.67,0.0,0.02,0.0,13.72,0.56,0.0,0.08,0.0,0.02,0.01,0.0,14.87,1.04,1.15,0.0,0.19,0.0,2.21
2012-05-25,1,3.39,1.77,0.0,0.1,0.43,7.62,0.02,1.9,0.45,0.0,0.0,0.47,0.14,2.1,0.02,0.62,0.02,0.02,0.0,0.02,0.01,2.09,0.0,1.32,3.71,0.02,1.05
2012-05-26,1,0.96,15.62,0.02,0.0,0.37,0.05,0.0,9.85,1.83,0.0,15.61,7.79,0.04,1.55,0.02,0.27,0.31,0.0,0.0,0.01,0.17,2.29,0.01,0.48,2.69,0.0,2.4
2012-05-27,1,0.08,0.71,0.04,0.0,2.2,0.12,3.03,0.61,1.24,0.01,0.26,1.87,0.01,0.13,0.0,0.21,8.09,0.0,0.0,0.53,0.2,0.37,1.63,0.32,0.85,1.35,0.9
2012-05-28,1,1.23,0.0,0.14,0.0,0.89,0.01,10.21,0.03,1.77,0.07,0.03,0.41,0.01,0.0,0.61,0.03,3.8,0.03,0.0,0.1,0.06,4.22,0.49,0.25,0.27,2.14,0.99
2012-05-29,1,16.14,0.0,0.02,0.06,0.2,0.0,2.0,0.01,1.8,1.1,4.88,14.36,0.27,0.04,13.26,0.0,0.0,0.02,0.0,12.08,0.05,0.24,22.02,0.0,0.0,0.32,3.54
2012-05-30,1,10.5,0.01,0.64,0.05,1.19,0.0,0.81,0.0,0.51,22.21,4.15,0.1,0.65,0.35,5.11,0.08,0.0,0.0,0.07,1.13,0.0,0.23,25.71,0.0,0.05,5.09,2.94
2012-05-31,1,1.6,0.15,2.07,0.03,12.16,0.0,0.75,0.0,0.15,20.06,0.01,0.0,24.14,14.45,0.05,0.43,0.04,0.0,1.25,2.03,0.01,0.75,0.9,0.0,0.0,5.83,3.24
2012-06-01,2,1.07,2.44,0.03,-0.01,4.16,0.01,0.09,0.04,0.05,0.58,0.0,0.0,2.31,0.0,0.39,0.01,0.02,0.06,-0.01,0.03,0.0,0.41,0.82,0.0,18.04,0.14,1.22
2012-06-02,2,0.06,2.7,0.0,5.05,0.32,0.07,0.09,1.53,1.85,0.25,2.45,0.04,0.43,0.0,0.57,3.24,0.42,6.33,0.0,0.0,0.21,0.0,0.55,1.98,12.15,4.16,1.61
2012-06-03,2,0.13,0.01,0.0,38.63,0.13,1.0,0.73,9.69,7.81,0.13,0.99,0.0,0.0,0.0,15.1,8.29,0.24,2.86,0.03,0.04,1.93,0.0,1.82,14.66,0.0,0.06,4.17
2012-06-04,2,13.22,0.04,24.13,0.07,0.03,29.14,0.58,9.13,0.0,6.09,0.06,0.17,0.15,0.0,0.32,0.0,0.07,1.05,0.02,0.01,0.64,0.0,4.58,0.0,0.09,0.0,3.58
2012-06-05,2,0.01,0.0,0.31,0.1,0.66,2.58,10.39,10.52,0.03,1.1,0.0,0.27,0.16,1.25,0.0,0.04,10.65,0.34,0.03,0.0,0.02,4.72,5.22,0.0,0.22,0.02,1.94
2012-06-06,2,0.0,0.02,0.11,0.08,1.24,0.19,5.02,0.02,0.26,4.78,4.39,0.04,0.02,0.34,0.01,0.28,5.27,0.09,0.27,0.18,0.0,8.12,2.27,0.22,0.0,0.0,1.33
2012-06-07,2,7.92,2.28,0.02,0.06,1.38,0.1,0.48,0.0,0.93,1.6,0.62,0.01,0.0,0.01,0.45,32.99,2.8,0.01,1.14,0.46,0.01,0.12,0.22,0.34,0.0,1.45,2.16
2012-06-08,2,0.43,4.37,0.01,0.13,0.99,1.62,0.04,1.48,1.4,3.04,0.47,0.0,0.0,0.09,0.14,8.1,0.87,0.0,0.3,0.06,0.19,3.31,0.09,0.21,1.71,2.55,1.16
2012-06-09,2,0.42,0.44,0.0,0.74,0.02,0.02,0.37,8.67,1.05,0.04,0.31,0.13,0.0,0.77,0.01,0.0,0.38,0.16,0.01,0.0,0.73,0.19,0.09,0.51,0.01,0.04,0.6
2012-06-10,2,2.08,3.53,0.47,2.04,0.13,0.0,0.0,11.9,0.05,0.58,1.62,0.0,1.16,0.27,0.01,0.04,0.28,0.01,0.18,0.73,0.0,0.01,0.01,0.13,0.01,10.43,1.01
2012-06-11,2,0.34,0.25,2.93,0.58,0.09,0.0,0.04,0.31,0.15,4.13,0.14,0.0,2.94,3.44,1.3,7.06,0.07,0.41,0.4,0.11,0.02,0.0,0.05,0.34,0.16,1.27,1.01
2012-06-12,2,7.79,0.08,0.13,0.04,0.31,0.12,0.04,10.96,2.23,2.05,0.0,0.02,0.0,0.38,0.0,1.76,3.21,0.24,0.07,0.01,1.55,0.0,2.0,0.6,0.31,5.76,1.36
2012-06-13,2,0.03,4.84,0.03,0.0,0.16,1.34,0.06,19.7,1.28,1.6,0.08,0.01,0.0,0.01,0.03,2.05,41.15,2.23,0.0,0.0,1.95,10.12,1.52,5.48,27.31,0.37,4.84
2012-06-14,2,0.06,0.61,0.06,11.06,0.0,0.9,0.0,1.26,0.27,10.46,0.04,0.0,9.49,0.0,0.01,1.23,18.07,5.01,0.0,0.0,0.17,28.43,0.0,0.27,42.69,0.01,5.2
2012-06-15,2,0.03,0.07,0.06,9.13,12.1,1.88,11.76,0.04,0.11,3.21,0.22,0.0,3.91,0.01,0.0,1.67,9.96,3.57,0.0,0.0,0.0,64.52,0.0,0.17,17.81,1.38,5.61
2012-06-16,2,0.09,0.04,0.0,3.28,0.05,0.87,1.87,0.02,0.01,8.71,0.03,0.0,2.35,0.14,0.0,0.1,1.02,1.27,5.03,0.05,0.62,19.41,0.12,1.2,0.43,1.41,1.87
2012-06-17,2,0.39,0.25,0.0,0.58,0.67,0.07,0.07,0.16,0.0,0.34,1.7,0.0,0.93,0.61,0.04,0.02,17.56,0.06,5.79,0.1,0.0,1.49,11.82,0.04,0.05,0.0,1.71
2012-06-18,2,0.09,5.59,0.0,5.67,0.87,13.78,0.0,0.01,0.19,0.52,5.93,0.02,0.92,5.82,0.04,0.0,0.61,0.0,4.3,0.01,0.0,1.13,3.15,0.07,0.07,0.0,1.95
