date,month,CRPS_3
2011_1,1,10.507530864197527
2011_2,2,92.1592283950617
2011_3,3,94.22919753086414
2011_4,4,355.5323456790122
2011_5,5,472.9917592592593
2011_6,6,411.0014197530862
2011_7,7,129.35425925925924
2011_8,8,69.82462962962964
2011_9,9,46.37250000000006
2011_10,10,23.906018518518536
2011_11,11,17.349228395061736
2011_12,12,11.72012345679012
2012_1,1,10.53641975308641
2012_2,2,46.40700617283946
2012_3,3,25.019197530864183
2012_4,4,29.863456790123422
2012_5,5,43.69731481481472
2012_6,6,48.72475308641964
2012_7,7,48.51314814814805
2012_8,8,68.4135185185186
2012_9,9,53.43916666666672
2012_10,10,43.29601851851853
2012_11,11,50.89589506172839
2012_12,12,48.370123456790154
2013_1,1,30.61308641975308
2013_2,2,26.678117283950588
2013_3,3,19.419197530864167
2013_4,4,20.83456790123452
2013_5,5,93.02731481481462
2013_6,6,55.38697530864184
2013_7,7,69.79314814814816
2013_8,8,124.6146296296296
2013_9,9,35.37250000000007
2013_10,10,10.140462962962957
2013_11,11,15.167006172839512
2013_12,12,7.190123456790118
2014_1,1,8.780864197530867
2014_2,2,11.929228395061703
2014_3,3,43.13697530864195
2014_4,4,86.0845679012345
2014_5,5,228.30731481481473
2014_6,6,191.36808641975293
2014_7,7,188.28092592592594
2014_8,8,68.41351851851854
2014_9,9,53.91583333333341
2014_10,10,54.416018518518506
2014_11,11,7.194783950617284
2014_12,12,6.414567901234566
2015_1,1,10.246419753086407
2015_2,2,11.929228395061696
2015_3,3,42.720308641975265
2015_4,4,69.45123456790117
2015_5,5,163.8473148148147
2015_6,6,276.2680864197529
2015_7,7,333.740925925926
2015_8,8,183.4901851851852
2015_9,9,35.06916666666672
2015_10,10,90.4571296296296
2015_11,11,73.10589506172839
2015_12,12,17.52345679012346
2016_1,1,10.229753086419752
2016_2,2,36.17922839506171
2016_3,3,16.96253086419751
2016_4,4,52.005679012345624
2016_5,5,41.145092592592476
2016_6,6,100.34253086419741
2016_7,7,119.3453703703704
2016_8,8,129.46129629629638
2016_9,9,32.248055555555595
2016_10,10,47.10046296296296
2016_11,11,15.300339506172852
2016_12,12,25.59012345679013
2017_1,1,9.646419753086416
2017_2,2,12.163672839506145
2017_3,3,53.64697530864193
2017_4,4,96.39567901234562
2017_5,5,41.78953703703695
2017_6,6,49.39808641975296
2017_7,7,60.30314814814818
2017_8,8,105.80907407407412
2017_9,9,66.00472222222228
2017_10,10,11.214907407407395
2017_11,11,6.9970061728395105
2017_12,12,6.181234567901228
2018_1,1,22.47197530864196
2018_2,2,82.03478395061725
2018_3,3,153.42475308641974
2018_4,4,72.23567901234566
2018_5,5,40.79620370370361
2018_6,6,67.97141975308631
2018_7,7,68.52981481481481
2018_8,8,76.11462962962966
2018_9,9,83.93138888888896
2018_10,10,95.02712962962966
2018_11,11,17.75367283950618
2018_12,12,12.67901234567901
2019_1,1,11.571975308641974
2019_2,2,16.137006172839488
2019_3,3,41.636975308641965
2019_4,4,91.33790123456785
2019_5,5,163.42731481481468
2019_6,6,252.57808641975296
2019_7,7,194.4609259259259
2019_8,8,84.61574074074079
2019_9,9,76.56250000000003
2019_10,10,60.17601851851854
2019_11,11,80.6958950617284
2019_12,12,72.46012345679011
2020_1,1,56.0453086419753
2020_2,2,12.690339506172808
2020_3,3,24.163641975308607
2020_4,4,45.184567901234516
2020_5,5,43.340648148148006
2020_6,6,81.34697530864185
2020_7,7,135.5998148148147
2020_8,8,137.0135185185185
2020_9,9,49.39250000000007
2020_10,10,22.403796296296306
2020_11,11,8.870339506172845
2020_12,12,6.202345679012339
