date,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,mean,obs
2011_1,288.74,365.0,217.78,289.85,346.17,277.62,394.88,359.17,248.48,380.44,317.22,505.36,330.98,248.32,294.63,267.16,177.12,274.56,227.84,256.75,241.55,293.4,233.51,367.74,263.65,,,,,,,,,,,,,,,,,,,,,,,,,,,298.66999999999996,379.99
2011_2,433.08,779.65,481.01,490.6,363.45,513.45,503.34,530.54,527.14,367.04,455.19,597.47,440.59,548.18,251.67,368.25,277.67,456.01,716.99,473.23,552.67,446.25,627.3399999999999,486.63,457.3,,,,,,,,,,,,,,,,,,,,,,,,,,,485.76,791.76
2011_3,521.77,635.36,850.64,632.7,589.59,696.04,747.94,659.97,369.82,517.75,420.17,616.31,927.22,581.71,404.57,635.66,624.92,432.46,883.46,729.55,627.4300000000001,660.56,426.69,797.54,765.69,,,,,,,,,,,,,,,,,,,,,,,,,,,630.22,1316.67
2011_4,697.98,701.44,1243.63,964.09,561.75,886.41,586.23,986.09,624.58,711.54,697.98,958.68,643.93,525.03,571.8,521.04,665.86,704.53,623.87,733.88,683.67,628.81,738.59,657.1,693.14,,,,,,,,,,,,,,,,,,,,,,,,,,,720.46,1558.49
2011_5,942.88,687.25,925.94,764.04,550.76,706.85,719.96,528.52,758.39,1080.53,651.08,652.3,1061.73,384.99,661.07,610.43,629.95,607.54,468.0,885.79,823.54,698.49,820.32,935.75,884.9899999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,737.6,1536.43
2011_6,478.72,452.98,560.58,598.53,787.84,796.98,625.41,687.82,874.53,806.86,1075.93,884.27,840.82,672.73,629.42,757.14,821.12,769.64,1163.82,777.87,828.93,631.03,653.51,649.06,662.37,,,,,,,,,,,,,,,,,,,,,,,,,,,739.5999999999999,1455.6
2011_7,532.93,378.36,739.12,563.7,472.41,341.78,609.57,554.03,662.69,485.01,379.6,632.06,432.94,568.75,369.18,379.42,449.11,636.24,500.82,539.97,524.13,807.92,318.98,448.28,655.37,,,,,,,,,,,,,,,,,,,,,,,,,,,519.27,1099.3899999999999
2011_8,592.78,510.05,529.75,444.26,446.33,449.87,453.14,468.62,448.55,392.16,377.32,465.03,630.71,477.45,307.27,513.3,435.01,580.7,287.45,496.78,337.79,583.03,285.62,501.18,449.21,,,,,,,,,,,,,,,,,,,,,,,,,,,458.55999999999995,544.89
2011_9,506.62,360.48,386.83,390.9,380.98,326.29,277.02,219.47,483.3,476.5,302.42,530.5,183.24,290.17,425.85,479.76,449.33,251.14,241.45,544.46,296.45,290.03,507.45,423.99,261.62,,,,,,,,,,,,,,,,,,,,,,,,,,,371.40999999999997,282.14
2011_10,187.37,169.19,285.75,215.46,282.4,265.79,175.53,224.19,190.53,234.99,167.36,306.16,261.47,192.94,359.5,309.63,192.38,161.81,266.79,262.42,268.21,173.67,227.03,251.15,173.15,,,,,,,,,,,,,,,,,,,,,,,,,,,232.23999999999998,142.83000000000004
2011_11,237.05,332.5,248.91,249.7,372.88,289.36,282.06,364.79,404.94,381.46,386.49,396.6,348.48,218.49,411.99,318.23,211.29,309.06,255.78,365.01,418.4,205.26,258.72,387.94,322.45,,,,,,,,,,,,,,,,,,,,,,,,,,,319.09999999999997,159.91
2011_12,260.95,286.33,312.16,268.36,253.58,387.6,253.15,296.53,325.56,301.42,201.36,230.0,221.27,336.55,314.47,225.31,353.03,265.85,304.58,329.24,275.91,262.13,346.75,303.82,354.8,,,,,,,,,,,,,,,,,,,,,,,,,,,290.74,221.65
2012_1,262.04,297.91,374.8,308.69,397.97,338.04,348.48,291.68,274.87,329.21,384.27,266.53999999999996,368.1,535.78,336.04,385.5,381.6,345.06,217.13,317.17,261.32,291.02,501.1,291.72,422.34,,,,,,,,,,,,,,,,,,,,,,,,,,,341.11,252.13
2012_2,578.33,422.54,408.58,498.23,319.61,398.84,376.12,497.54,335.64,346.42,540.1,279.67,392.8,338.81,487.33,405.09,502.7,315.16,479.88,326.83,310.0,458.49,513.82,395.23,478.26,,,,,,,,,,,,,,,,,,,,,,,,,,,416.2600000000001,326.8
2012_3,702.67,591.04,626.85,393.65,540.65,635.24,924.79,720.31,496.45,475.66,612.28,601.62,538.17,573.54,718.6,655.46,776.79,733.03,597.98,693.3399999999999,588.92,391.69,825.1800000000001,876.61,386.47,,,,,,,,,,,,,,,,,,,,,,,,,,,627.0999999999999,651.1399999999999
2012_4,560.07,614.37,691.69,861.27,641.26,924.39,813.8499999999999,894.45,797.44,521.57,753.28,293.19,903.21,366.92,982.29,643.95,559.52,897.62,613.61,876.08,496.9,789.99,763.93,902.73,611.11,,,,,,,,,,,,,,,,,,,,,,,,,,,710.9499999999999,920.4999999999999
2012_5,832.25,528.19,455.72,485.88,598.26,684.14,848.97,958.16,585.95,718.12,499.43,782.75,325.84,656.82,712.14,551.45,600.16,634.07,619.38,814.67,780.24,1130.33,590.44,426.89,749.78,,,,,,,,,,,,,,,,,,,,,,,,,,,662.81,969.6399999999999
