catchment,date,month,leadtime,CRPS
A,2018_9,9,2,53.156
A,2018_10,10,2,26.384
A,2018_11,11,2,7.979
A,2018_12,12,2,38.542
A,2019_1,1,2,31.953
A,2019_2,2,2,49.99
A,2019_3,3,2,27.001
A,2019_4,4,2,53.195
A,2019_5,5,2,32.007
A,2019_6,6,2,64.991
A,2019_7,7,2,30.223
A,2019_8,8,2,36.305
A,2019_9,9,2,22.305
A,2019_10,10,2,38.002
A,2019_11,11,2,10.495
A,2019_12,12,2,7.767
A,2020_1,1,2,16.508
A,2020_2,2,2,39.432
A,2020_3,3,2,104.229
A,2020_4,4,2,15.443
A,2020_5,5,2,33.515
A,2020_6,6,2,38.112
A,2020_7,7,2,339.669
A,2020_8,8,2,203.263
A,2020_9,9,2,38.392
A,2020_10,10,2,15.89
A,2020_11,11,2,16.105
A,2020_12,12,2,31.775
A,2011_1,1,3,21.039
A,2011_2,2,3,25.792
A,2011_3,3,3,64.048
A,2011_4,4,3,338.125
A,2011_5,5,3,576.453
A,2011_6,6,3,715.03
A,2011_7,7,3,504.934
A,2011_8,8,3,53.771
A,2011_9,9,3,30.955
A,2011_10,10,3,12.576
A,2011_11,11,3,63.155
A,2011_12,12,3,80.772
A,2012_1,1,3,49.376
A,2012_2,2,3,10.296
A,2012_3,3,3,15.905
A,2012_4,4,3,50.869
A,2012_5,5,3,64.326
A,2012_6,6,3,197.489
A,2012_7,7,3,212.919
A,2012_8,8,3,81.07
A,2012_9,9,3,39.022
A,2012_10,10,3,15.596
A,2012_11,11,3,12.372
A,2012_12,12,3,10.118
A,2013_1,1,3,23.17
A,2013_2,2,3,47.484
A,2013_3,3,3,17.921
A,2013_4,4,3,17.39
A,2013_5,5,3,108.365
A,2013_6,6,3,70.527
A,2013_7,7,3,86.681
A,2013_8,8,3,43.597
A,2013_9,9,3,29.209
A,2013_10,10,3,45.27
A,2013_11,11,3,18.771
A,2013_12,12,3,34.566
A,2014_1,1,3,74.302
A,2014_2,2,3,73.025
A,2014_3,3,3,93.695
A,2014_4,4,3,76.412
A,2014_5,5,3,128.317
A,2014_6,6,3,52.84
A,2014_7,7,3,42.448
A,2014_8,8,3,48.454
A,2014_9,9,3,42.789
A,2014_10,10,3,31.277
A,2014_11,11,3,44.297
A,2014_12,12,3,48.076
A,2015_1,1,3,82.718
A,2015_2,2,3,66.93
A,2015_3,3,3,84.361
A,2015_4,4,3,122.442
A,2015_5,5,3,98.951
A,2015_6,6,3,180.956
A,2015_7,7,3,92.426
A,2015_8,8,3,111.842
A,2015_9,9,3,21.295
A,2015_10,10,3,15.322
A,2015_11,11,3,39.096
A,2015_12,12,3,45.766
A,2016_1,1,3,77.464
A,2016_2,2,3,23.753
A,2016_3,3,3,75.851
A,2016_4,4,3,96.308
A,2016_5,5,3,37.993
A,2016_6,6,3,39.81
A,2016_7,7,3,51.646
A,2016_8,8,3,70.936
A,2016_9,9,3,24.584
A,2016_10,10,3,13.022
A,2016_11,11,3,11.97
A,2016_12,12,3,21.992
A,2017_1,1,3,59.69
A,2017_2,2,3,49.367
A,2017_3,3,3,82.414
A,2017_4,4,3,112.016
A,2017_5,5,3,53.678
A,2017_6,6,3,120.752
A,2017_7,7,3,63.546
A,2017_8,8,3,70.818
A,2017_9,9,3,48.459
A,2017_10,10,3,58.469
A,2017_11,11,3,45.817
A,2017_12,12,3,36.371
A,2018_1,1,3,16.929
A,2018_2,2,3,30.75
A,2018_3,3,3,74.754
A,2018_4,4,3,36.479
A,2018_5,5,3,39.456
A,2018_6,6,3,87.001
A,2018_7,7,3,163.066
A,2018_8,8,3,217.196
A,2018_9,9,3,57.65
A,2018_10,10,3,21.27
A,2018_11,11,3,22.712
A,2018_12,12,3,49.242
