date,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,mean,obs
2011_1,48.519999999999996,30.539999999999992,15.419999999999998,22.869999999999997,29.32,41.68000000000001,4.66,20.899999999999995,84.35,49.12000000000001,71.32000000000001,41.300000000000004,35.5,52.739999999999995,32.660000000000004,32.18,31.89,99.0,41.33,50.86
2011_2,55.78999999999999,48.129999999999995,31.800000000000004,47.46,29.369999999999994,34.2,34.78999999999999,13.809999999999999,73.21000000000001,20.30999999999999,93.97000000000001,61.96000000000001,81.54000000000002,40.22,144.84,65.49000000000001,85.67,147.29999999999998,61.66,80.5
2011_3,74.3,62.47,66.21000000000001,91.17,43.379999999999995,95.53000000000002,134.78,54.25,41.510000000000005,168.39000000000001,221.68000000000004,106.53999999999999,122.39000000000001,113.61000000000001,140.38,98.11000000000001,110.88,154.36,105.56,197.24
2011_4,174.47000000000003,124.23,87.31,89.39,245.26,162.51000000000002,216.94,115.08000000000001,33.98,250.35000000000008,308.78999999999996,178.94,124.28999999999999,209.59000000000003,142.44,98.19000000000001,142.62,169.75,159.68,297.03999999999996
2011_5,267.6,302.41,114.53999999999999,235.26,357.37,281.12,251.5,215.09000000000003,220.51,175.31000000000006,285.69,420.57,239.7,231.23999999999998,240.15000000000003,159.08,209.01999999999998,161.09,242.63,546.11
2011_6,458.59999999999997,341.44000000000005,346.81,423.35,446.2400000000001,509.1400000000001,309.04999999999995,347.79,407.93,289.38000000000005,492.33000000000004,719.95,514.88,1012.5400000000002,407.86999999999995,430.5899999999999,587.0,187.89999999999998,457.38,987.5400000000002
2011_7,684.02,365.99000000000007,873.0600000000001,348.03,470.47000000000014,770.8600000000002,517.06,499.94,276.57,823.73,638.53,659.7800000000002,575.6800000000001,987.8100000000002,681.79,552.6899999999999,648.8500000000001,414.0899999999999,599.39,847.23
2011_8,451.67,271.89000000000004,617.82,145.06,264.38,595.1500000000002,689.99,581.6600000000001,137.04,682.03,628.95,407.25000000000006,514.52,134.51000000000005,719.9399999999998,287.17,230.25000000000006,661.56,445.61,416.9999999999999
2011_9,109.14,202.51000000000005,50.900000000000006,90.15000000000002,109.96000000000001,197.62,466.38000000000005,300.85,156.70000000000002,127.94,354.22,152.13000000000002,335.55,88.26,353.0099999999999,87.19000000000001,93.03999999999999,402.71999999999997,204.35000000000002,194.14999999999995
2011_10,59.68,187.68,39.550000000000004,86.84,68.47,84.27,133.07999999999998,29.770000000000007,101.56000000000002,65.39999999999999,92.1,33.0,82.99999999999999,112.04,45.81,34.51,95.26,42.96000000000001,77.5,109.07000000000002
