date,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,mean,obs
2017_12,29.74,12.96,28.120000000000005,20.22,23.869999999999997,11.55,23.860000000000003,34.17,14.98,26.44,12.64,15.78,16.98,58.15,13.23,29.71,15.51,22.98,19.68,9.81,14.63,19.05,22.1,26.4,52.07,18.65,31.340000000000003,17.39,12.93,6.57,23.24,41.92,17.36,19.44,17.43,26.21,14.53,25.49,20.42,42.36,18.44,37.85,19.190000000000005,10.55,12.22,66.75,28.800000000000004,27.94,19.93,13.099999999999998,21.28,23.229999999999997,17.519999999999996
2018_1,27.92,65.56,17.0,10.19,24.07,22.83,23.82,10.42,20.03,54.98,11.819999999999999,34.36,8.6,23.84,18.11,15.02,13.56,24.28,38.81,32.03999999999999,30.62,52.71,42.13000000000001,20.3,13.32,29.29,28.98,11.06,22.92,41.35,45.44,45.13,20.92,27.189999999999998,15.14,29.21,27.43,31.77,9.39,9.45,7.75,6.01,13.11,6.550000000000001,41.37,10.4,24.71,49.300000000000004,39.35,21.73,13.45,25.18,9.969999999999999
2018_2,34.33,49.47,40.699999999999996,52.74,15.52,40.59,34.14,28.76,106.88,15.96,6.81,27.71,64.87,50.93,83.49,90.54,18.3,45.38,7.28,34.6,68.73,37.77,41.08,29.19,41.99,38.49,28.37,4.32,51.45,63.62,6.51,14.78,126.01,38.46,25.35,20.04,6.22,26.56,36.46,23.449999999999996,20.82,30.13,47.99,30.890000000000004,48.81999999999999,25.72,89.51,49.67,51.27,58.41,5.46,39.95,27.7
2018_3,75.98,47.57,192.03,100.42,92.63,112.1,148.93,61.27,108.85,53.6,72.42,83.94,50.79,96.27,90.78,136.76,95.8,62.23,89.01,75.29,64.28,78.7,82.23,118.17,127.24,86.78,71.09,92.86,114.36,97.46,62.87,112.52,78.83,72.33,175.49,101.01000000000002,93.57,127.72,154.78,148.26,79.12,97.31,114.94000000000001,45.07,98.13,75.74,84.37,125.78,160.34,121.35,92.55,98.1,72.58
2018_4,80.77,124.96,97.77,151.2,203.13,150.03,101.44,177.43,103.11,93.82,81.0,141.54,127.76000000000002,65.53,89.16,87.03,107.73000000000002,77.58,130.84,102.78,203.04,83.47,166.02,125.76,125.88,162.43,79.98,81.62,115.37,137.29,70.53,217.18,77.54,188.14,130.93,68.23,93.5,194.49,105.93999999999998,171.2,150.86,126.02,76.95,50.56,108.93,110.98,212.05,95.74,72.29,113.89,104.21,119.91999999999999,133.98000000000002
2018_5,160.89,48.99,104.76,166.39,99.32,56.74,92.1,62.59,73.43,123.05,68.82,64.83,131.13,102.99,89.69,121.29,67.92,45.5,105.47000000000001,63.37,135.47,168.75,57.88,176.64,31.07,211.32,131.24,137.72,97.04,74.18,139.35,92.92999999999999,108.05,163.17,75.77,51.38000000000001,159.16,233.61,169.92,83.14,101.16,115.76,111.24,108.46,55.43,67.4,64.38,73.09,79.56,196.61,132.05,106.90000000000003,184.16000000000003
2018_6,167.95,265.17,222.86,99.10000000000001,108.55,275.0,83.88,94.7,238.53,148.08,216.47,103.92,92.24,80.57,45.5,185.13,277.88,184.54,14.219999999999999,139.04,44.02,60.150000000000006,133.72,205.55,110.98,232.45,139.83,69.85,211.32,38.75,107.07,308.12,50.71,340.4,85.9,82.75,213.49,172.47,216.51,169.99,151.24,138.14,114.16,23.139999999999997,204.98,105.32000000000001,309.6,67.58,117.33,208.93,55.34,147.71,94.76999999999998
2018_7,246.0,137.4,209.38,256.55,196.76,160.34,177.85,121.88,216.79,237.75,290.15,343.21,196.54,215.62,228.9,108.61,347.27,194.02,259.43,116.11,178.77,359.61,210.92,322.21,165.35,190.0,194.36,148.7,233.64,84.19,262.72,540.84,374.4,262.45,254.22,114.71,149.44,123.01,276.86,206.66,198.99,194.37,198.78,190.56,196.96,145.76,211.81,341.83,238.24,140.46,278.11,220.57999999999998,210.42999999999995
2018_8,43.37,190.67,137.97,45.94,174.25,176.11000000000004,56.4,102.42,70.7,118.43,31.38,324.02,92.99,58.69,179.67,103.28,54.24,82.87,221.98,197.54,155.13,319.85,84.76000000000002,135.83,167.96,165.58,95.92,65.78,146.48,119.71,58.15,241.43,85.17,68.45,106.27,303.89,132.07,396.4700000000001,81.97,195.77,102.7,146.95,42.89000000000001,127.7,137.89,130.54,146.73,256.23,92.26,114.1,263.75,140.23000000000002,326.85
2018_9,76.8,172.85,149.86,109.43000000000002,254.78,99.55,237.34,266.49,120.88,119.25,103.24,183.19,228.06,139.04,143.19,82.03,141.31,183.63,279.69,232.0,148.88,137.91,82.75,97.59,160.04,98.18,161.53,174.95,181.09,74.38,97.15,266.82,127.88,182.43,195.64,243.88,104.25,178.9,282.31,179.81,190.81,126.79,153.94,327.03,42.4,333.41,143.13,122.57,107.74,144.88,105.62,162.68999999999997,175.33
2018_10,124.3,35.14,79.49,44.43999999999999,41.75999999999999,52.34,137.38,142.86,109.34,56.02,132.81,65.7,123.07,109.07,93.45,153.78,46.49000000000001,21.89,117.56,80.01,170.52,68.99,124.46,154.91,161.57,78.97,103.87,22.56,102.36,52.52,17.45,146.79,23.41,88.6,117.12,109.61000000000001,43.36,121.31,51.73,60.89999999999999,84.87,83.32,262.01,151.51,74.65,106.52,54.69,119.7,66.36,165.29,97.93,95.18999999999997,119.92000000000004
2018_11,18.85,27.87,42.58,27.62,37.199999999999996,7.410000000000001,51.35,75.0,57.01,22.150000000000002,86.07,60.17000000000001,33.540000000000006,25.98,52.21,60.1,51.49,21.93,59.99000000000001,18.33,30.510000000000005,61.65,42.24,70.68,31.449999999999996,60.7,43.78,35.77,67.79,65.34,60.52,52.11,31.78,35.76,57.3,42.0,25.99,39.23,70.84,44.68,45.55,20.389999999999997,61.02,30.1,47.48,33.53,23.14,14.6,44.81,55.169999999999995,29.38,43.37,56.94
2018_12,21.49,25.45,26.37,54.91,49.54,20.3,23.99,19.7,39.74,50.73,14.38,76.82,37.27,26.21,35.89,44.78,25.58,35.02,28.57,34.76,33.29,27.06,14.47,41.92,25.12,26.320000000000004,87.0,63.72,25.51,19.29,34.45,22.02,34.49,34.48,21.0,28.25,57.77,33.75999999999999,64.74,51.84,26.29,35.15,39.72,30.69,49.08,79.19,39.93,53.1,69.45,37.92,53.31,38.25999999999999,31.060000000000002
2019_1,23.17,47.38,43.21,15.97,12.960000000000003,13.47,41.11000000000001,31.71,35.27,65.83,47.01,16.26,22.37,27.57,24.1,53.76,60.14,20.07,26.07,79.78,43.78,37.33,36.81,86.02,27.64,25.92,55.09,20.98,15.04,67.6,57.75,11.84,13.13,19.21,38.59,25.01,12.56,86.58,26.84,37.39,23.02,22.88,20.96,39.81,27.63,7.94,27.229999999999997,27.799999999999997,60.12,71.45,45.27,35.83,0.9000000000000001
2019_2,53.6,44.37,69.31,38.74,53.18,76.57,100.38,71.76,56.66,45.74,63.53999999999999,112.61,71.76,26.25,106.93,94.42,73.03,110.16,102.02,100.89,104.1,51.24,130.46,101.16000000000001,100.42,37.02,71.57,87.3,92.72,40.78,36.38,96.19,119.41000000000001,44.15,66.35,34.74,21.06,65.01,44.730000000000004,58.52,123.11,35.77,53.97,62.72,97.25,66.42,151.15,78.24,23.2,51.28,129.23000000000002,73.48,39.489999999999995
